Source,SS,df,MS,F,p,eta2p,sig
Target Load [A],5115910.063812882,1,5115910.063812882,26.790354402949117,9.421636388506904e-06,0.43356855065505934,***
Error (S/A),6683631.33761829,35,190960.89536052258,,,,
Modality [B],14946954.1801106,1,14946954.1801106,48.65496865307639,4.11134589706208e-08,0.5816148094544425,***
AxB Interaction,5908431.40617127,1,5908431.40617127,19.232984954128497,0.00010096742859400099,0.3546362969030046,***
Error (BxS/A),10752106.327187888,35,307203.0379196539,,,,
