DV,t,p,d,Single_M,Multiple_M
Lab RT (ms),-0.46241858979791406,0.6471493032187392,-0.15657001572167323,1565.4100876191012,1605.0394387499946
Game RT (ms),6.465865234324783,2.5102366124254103e-07,2.137806032713463,2957.5548762397448,1856.4556537212788
Game Success Rate (%),-0.42688169412793975,0.672569350928993,-0.12929976115063313,95.7873407637684,96.37202617174492
Game Hit Rate (%),-1.3444955879203757,0.18949805042022005,-0.40457485249064146,95.86104684788896,98.01642223401598
Game False Alarms,-3.0538454043715886,0.005523119216752631,-1.0777916378421193,0.1667745753272069,0.5654782717282718
