Group,n,t,df,p,dz,game_M,lab_M,diff_M,diff_SD,ci_lo,ci_hi,sig
Single,21,12.602684757349342,20,5.6918225119915364e-11,2.750131279058073,2957.5548762397448,1565.4100876191012,1392.144788620643,506.2103032032188,1161.7206212089477,1622.5689560323385,***
Multiple,16,1.8234906385954828,15,0.08821697872363482,0.4558726596488707,1856.4556537212788,1605.0394387499946,251.41621497128403,551.5053593363851,-42.460246911483296,545.2926768540514,ns
