Group,n,r,p_pearson,rho,p_spearman,r_ci_lo,r_ci_hi
Single,21,0.2879786493882081,0.205548944759743,0.39610389610389607,0.07547637795047234,-0.164117944357872,0.6400964623254268
Multiple,16,0.10106298342503434,0.7095833687432007,0.02647058823529412,0.9224805705017287,-0.4154638821180069,0.5683047887085863
All,37,0.07738949444181627,0.6489159249005391,0.1818397344713134,0.28141959098403196,-0.25297874474043053,0.3915943580228168
