click_pair,n,M,SD,SE,Mdn,IQR,Min,Max,Skew,Kurt,SW_p
1→2,232,1222.313426724157,569.3811457781344,37.38170359485425,1071.08940000046,335.58832499998914,600.5658000000267,5250.80939999998,3.8899274138936377,19.720036650607952,2.9189968902580877e-22
2→3,231,1203.9632017315869,596.2259218596882,39.22878558665327,1043.5793999999987,298.04914999991183,157.5823000000014,6456.209800000011,4.457467009905746,29.745335787184402,1.3005977512282685e-22
3→4,227,1305.78292202645,730.8527536260581,48.508400992864566,1101.4659999998457,373.95949999924505,692.7815000000237,7109.223599998586,4.630652032371414,28.76610977592273,9.16671675768377e-24
4→5,211,1433.907135545007,1045.174433739103,71.95277535467982,1170.14460000064,455.488950000813,168.6942999999701,12958.217599999898,7.060366008573274,69.77406834122816,1.0820096048178052e-24
5→6,2,2058.5635500000594,133.7650161426927,94.586150000026,2058.5635500000594,94.58615000002578,1963.9774000000334,2153.1497000000854,0.0,-2.0,
6→7,1,1781.2619999999697,,,1781.2619999999697,0.0,1781.2619999999697,1781.2619999999697,,,
