target_col,trial.started,square.started,mouse.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,16.531366799999887,16.608136000000286,0.0690355000001545,35.09422889999996,"[2.264185699999871, 3.588137199999892, 4.577855800000179, 5.61462900000015, 18.572926599999846]","[0.035, 0.16111111111111112, 0.10055555555555555, -0.09277777777777778, 0.11166666666666666]","[0.20277777777777778, -0.02388888888888889, -0.20444444444444446, -0.21888888888888888, 0.15777777777777777]","[2.200161599999774, 3.524102799999582, 4.513836099999935, 5.5507699999998295, 18.508987599999728]"
white,36.1069407,36.19512570000006,0.0767134000002442,45.6145305,"[3.032599399999981, 4.872299199999816, 6.031613199999811, 7.279162100000121, 9.516336600000159]","[0.05722222222222222, -0.025555555555555557, 0.18666666666666668, 0.10888888888888888, -0.06777777777777778]","[0.14333333333333334, 0.14, 0.14277777777777778, -0.13666666666666666, -0.02277777777777778]","[2.958876700000019, 4.798848999999791, 5.95794079999996, 7.205603200000041, 9.44322319999992]"
red,46.616377300000295,46.69430450000027,0.0570670000001882,60.416240000000016,"[9.36801830000013, 10.802064200000132, 11.829256700000315, 12.80024880000019, 13.799093500000254]","[-0.23555555555555555, -0.25833333333333336, 0.025, -0.06944444444444445, 0.09888888888888889]","[0.16055555555555556, -0.07055555555555555, 0.021111111111111112, 0.19277777777777777, 0.19777777777777777]","[9.316043199999967, 10.749828099999831, 11.776949499999773, 12.747762200000125, 13.746392900000046]"
red,61.415539699999954,61.50130260000015,0.0623076000001674,67.96122240000022,"[1.5671424000001934, 2.5404130000001715, 3.293905300000006, 4.367756399999962, 6.54224430000022]","[-0.14277777777777778, 0.06, 0.17333333333333334, 0.21055555555555555, -0.22111111111111112]","[0.13, 0.06555555555555556, -0.04611111111111111, -0.1638888888888889, -0.18777777777777777]","[1.510240800000247, 2.4832814999999755, 3.685532299999977, 4.680151200000182, 6.484783200000038]"
white,68.95851040000025,69.04688710000028,0.0605330999997022,75.11188560000028,"[1.3940414999997301, 2.444360499999675, 3.641182200000003, 4.894994400000087, 6.147936599999866]","[-0.22944444444444445, -0.014444444444444444, 0.21833333333333332, 0.14888888888888888, -0.06111111111111111]","[-0.18833333333333332, -0.20333333333333334, -0.2011111111111111, 0.14166666666666666, 0.22333333333333333]","[1.3392539999999826, 2.388977899999645, 3.5851275999998506, 4.83960769999976, 6.092475299999933]"
white,76.11345570000003,76.20335729999988,0.0657611000001452,81.81985030000033,"[1.500844700000016, 2.4723033999998734, 3.568932799999857, 4.604636000000028, 5.704676899999868]","[-0.20833333333333334, -0.09055555555555556, 0.22555555555555556, 0.1988888888888889, 0.017222222222222222]","[0.19722222222222222, 0.14666666666666667, 0.10888888888888888, -0.03666666666666667, -0.19666666666666666]","[1.4387526999998954, 2.4100891999996747, 3.5063474999997197, 4.541739199999938, 5.642765799999779]"
red,82.81231560000015,82.89261420000003,0.0526834000002054,87.45349510000005,"[1.1589248000000225, 1.8091410000001815, 2.9785947000000306, 3.749989100000221, 4.630941400000211]","[-0.19277777777777777, -0.042222222222222223, -0.05444444444444444, 0.0011111111111111111, 0.1322222222222222]","[-0.19777777777777777, -0.19833333333333333, 0.010555555555555556, 0.12, 0.09222222222222222]","[1.1107422000000042, 1.989878399999725, 2.9300404999999046, 3.701201200000014, 4.582130999999663]"
white,88.45510620000005,88.5366925000003,0.0611023000001296,93.7608296000003,"[1.2612902000000759, 1.6877362999998695, 2.4009439999999813, 3.9805175000001327, 5.304864799999905]","[-0.03222222222222222, 0.08166666666666667, 0.23, 0.24722222222222223, -0.0011111111111111111]","[0.14777777777777779, 0.03611111111111111, 0.018333333333333333, -0.22944444444444445, -0.06]","[1.2074583000003258, 1.975429300000087, 2.7166172000002007, 3.924783800000114, 5.249475000000075]"
white,94.75549300000011,94.82045590000008,0.0434476999998878,100.25684290000028,"[1.3510401000003185, 2.142721900000197, 3.423201500000232, 4.4744934000000285, 5.493240300000252]","[-0.08888888888888889, -0.15833333333333333, -0.1988888888888889, 0.028888888888888888, 0.1761111111111111]","[0.1322222222222222, 0.18666666666666668, -0.145, -0.005555555555555556, -0.15055555555555555]","[1.3124997999998413, 2.104231599999821, 3.363488299999972, 4.435862400000133, 5.454121400000076]"
white,101.25448920000008,101.32974160000003,0.0547140999997282,107.4002848,"[1.9363674000001083, 2.7019288999999844, 4.202280399999836, 4.56514369999968, 6.140291799999886]","[-0.08777777777777777, -0.1622222222222222, -0.23777777777777778, -0.17333333333333334, 0.2427777777777778]","[-0.14722222222222223, -0.16944444444444445, -0.034444444444444444, 0.05722222222222222, 0.09888888888888889]","[1.8860326999997596, 2.651459700000032, 4.151488399999835, 4.850462800000059, 6.089675400000033]"
red,108.39743690000024,108.48225950000004,0.0638534999998228,112.73658350000004,"[1.399800299999697, 2.023594199999934, 2.6546346000000085, 2.927419199999804, 4.333929200000057]","[-0.20555555555555555, -0.185, -0.08555555555555555, -0.11833333333333333]","[0.2061111111111111, 0.11, 0.20055555555555554, -0.03]","[1.3395934999998644, 1.96314349999966, 2.593535499999689, 4.272355599999628]"
white,113.7301854000002,113.80806819999998,0.0509235000004082,119.22916290000012,"[1.2623201000001245, 2.319824400000016, 3.344295200000033, 4.406156200000169, 5.489834000000428]","[-0.1288888888888889, -0.09055555555555556, 0.19444444444444445, 0.2238888888888889, 0.16055555555555556]","[0.14222222222222222, -0.20944444444444443, -0.1638888888888889, -0.021111111111111112, 0.17833333333333334]","[1.2151730000000498, 2.272278500000084, 3.2953363999999965, 4.358191499999975, 5.441567200000009]"
