target_col,trial.started,square.started,mouse.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,20.51902690000003,20.63149070000003,0.1346037999999794,28.221454600000012,"[1.8005004999999983, 3.0683000999999877, 4.43447359999999, 6.462975400000005, 7.754689100000007]","[-0.0022222222222222222, 0.028888888888888888, 0.056666666666666664, 0.13333333333333333, 0.20166666666666666]","[0.12166666666666667, 0.02277777777777778, -0.17, -0.11777777777777777, -0.22555555555555556]","[1.6731181999999762, 2.9416486999999734, 4.307504100000017, 6.33593860000002, 7.62855780000001]"
red,29.239827700000035,29.337516100000016,0.086666799999989,35.56070540000002,"[1.7463081999999872, 3.0043041999999787, 4.171944100000019, 5.140019400000028, 6.332541800000001]","[0.07722222222222222, 0.18666666666666668, -0.07555555555555556, -0.16055555555555556, -0.12777777777777777]","[-0.17666666666666667, -0.03833333333333333, -0.08166666666666667, -0.14222222222222222, 0.21944444444444444]","[1.6629806999999914, 2.9205837000000088, 4.087964600000021, 5.0562316000000465, 6.248896200000047]"
white,36.55601690000003,36.65279120000002,0.0655277000000182,43.2703449,"[1.7197398000000135, 2.9408277, 4.391725000000008, 5.578670100000011, 6.707104300000026]","[0.0077777777777777776, 0.14222222222222222, 0.13944444444444445, -0.03388888888888889, -0.23722222222222222]","[0.20277777777777778, 0.23666666666666666, -0.16333333333333333, -0.22444444444444445, -0.03666666666666667]","[1.6606902999999988, 2.881048000000021, 4.332104500000014, 5.519099100000005, 6.647231299999987]"
red,44.27154970000004,44.374768500000016,0.0720145000000229,49.7751523,"[1.281888600000002, 2.3980814000000237, 2.9568879000000265, 4.121567200000015, 5.502316800000017]","[-0.095, -0.03222222222222222, 0.0661111111111111, 0.23666666666666666]","[0.125, 0.20166666666666666, 0.21166666666666667, -0.07333333333333333]","[1.2176125999999954, 2.3330130999999596, 3.2508566999999857, 5.4367249000000015]"
white,50.77238499999999,50.88742669999999,0.071605599999998,57.93454780000002,"[1.4380919999999833, 1.8873682000000258, 3.0923660999999925, 6.021228399999984, 7.156991399999981]","[-0.17055555555555554, -0.16055555555555556, -0.06777777777777778, 0.23777777777777778, 0.14555555555555555]","[0.18666666666666668, -0.20555555555555555, -0.057777777777777775, -0.16111111111111112, 0.20166666666666666]","[1.3734739999999874, 2.486992299999997, 3.428221600000029, 5.9561463, 7.091409400000032]"
white,58.936135500000034,59.03156660000002,0.0661907999999584,70.81361270000002,"[1.3135638999999628, 2.165720799999974, 3.179977000000008, 6.429236899999978, 11.876616099999978]","[-0.08777777777777777, -0.2288888888888889, -0.11444444444444445, 0.19444444444444445, 0.017222222222222222]","[0.22944444444444445, 0.023333333333333334, -0.11944444444444445, -0.16777777777777778, 0.03722222222222222]","[1.2522119000000203, 2.389185800000007, 3.454830300000026, 6.366066900000021, 11.813523000000032]"
red,71.8170857,71.9340823,0.0823436000000015,77.90650349999999,"[1.4399468000000297, 2.126370100000031, 4.177459100000021, 4.813283000000013, 6.090313100000003]","[0.0811111111111111, 0.21722222222222223, 0.10888888888888888, -0.12555555555555556, -0.22444444444444445]","[0.2222222222222222, 0.19611111111111112, -0.010555555555555556, -0.10333333333333333, 0.09722222222222222]","[1.3649646999999732, 2.3021454999999946, 4.1024057999999854, 5.10352180000001, 6.015241000000003]"
white,78.9161757,79.02736090000002,0.0892766999999707,84.2596557,"[1.1922288000000094, 1.687098600000013, 2.4211362999999437, 3.7757067000000006, 5.350076100000024]","[-0.18722222222222223, -0.23055555555555557, -0.03888888888888889, 0.19944444444444445, 0.195]","[0.1322222222222222, 0.03888888888888889, 0.007222222222222222, 0.235, -0.19277777777777777]","[1.1095154999999863, 1.9312065999999959, 2.7439256000000114, 4.093877700000007, 5.266785499999969]"
white,85.26512970000005,85.37599159999996,0.0856481000000712,92.71608670000006,"[2.117067700000007, 3.2574720999999727, 5.057409699999994, 6.7197161999999935, 7.453400600000009]","[0.08055555555555556, -0.20277777777777778, -0.06833333333333333, -0.015]","[0.21833333333333332, 0.06, -0.11777777777777777, -0.07444444444444444]","[2.0383538999999473, 3.179150800000002, 4.978742499999953, 6.640988600000014]"
