target_col,trial.started,square.started,mouse.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,25.02542990000001,25.09777759999997,0.0884249999999724,31.401550999999984,"[1.1978791999999885, 2.5267888999999855, 3.7321804000000043, 5.120272199999988, 6.407901999999979]","[-0.03611111111111111, -0.24833333333333332, -0.2388888888888889, -0.21333333333333335, 0.2311111111111111]","[0.095, 0.008333333333333333, -0.24944444444444444, -0.14722222222222223, 0.10111111111111111]","[1.1147066999999993, 2.4439821999999936, 3.64922729999995, 5.038077799999996, 6.324825299999986]"
white,32.40325180000002,32.466274,0.0460643999999774,39.20596219999999,"[1.1649097000000097, 2.450486099999978, 4.440721800000006, 5.416612799999996, 6.79946289999998]","[0.23666666666666666, -0.17777777777777778, 0.19055555555555556, 0.15944444444444444, -0.20055555555555554]","[0.12111111111111111, 0.25555555555555554, -0.034444444444444444, 0.095, -0.07111111111111111]","[1.121336499999984, 2.406599099999994, 4.396569699999986, 5.372502300000008, 6.755482700000016]"
red,40.20214440000001,40.27526660000001,0.0464499000000273,46.53986579999997,"[2.192252900000028, 3.2064311999999973, 4.172616699999992, 5.106875800000012, 6.33176560000004]","[-0.027777777777777776, 0.056666666666666664, 0.22166666666666668, 0.12111111111111111, 0.12444444444444444]","[-0.08388888888888889, -0.205, -0.04888888888888889, 0.06388888888888888, 0.2222222222222222]","[2.149505799999986, 3.164719699999978, 4.129742799999974, 5.065325799999982, 6.289121899999998]"
white,47.53418909999999,47.59759329999997,0.0398084999999923,54.25193289999999,"[1.7214045000000056, 2.7036337000000117, 4.901410100000021, 5.8665406000000075, 6.709477700000036]","[0.007222222222222222, -0.04555555555555556, 0.21055555555555555, 0.05388888888888889, 0.019444444444444445]","[0.21555555555555556, 0.13111111111111112, -0.07166666666666667, -0.24333333333333335, -0.15611111111111112]","[1.6863012000000026, 2.6680791, 4.86576500000001, 5.830641500000013, 6.67396679999996]"
white,55.25490659999997,55.31854219999997,0.0490404000000239,66.53564080000001,"[2.539614400000005, 3.9828085999999985, 5.612917900000014, 6.842747599999996, 11.281439000000034]","[-0.22944444444444445, -0.18444444444444444, 0.16166666666666665, -0.035555555555555556, -0.1238888888888889]","[-0.19055555555555556, 0.025555555555555557, 0.14277777777777778, 0.02388888888888889, -0.05388888888888889]","[2.4952394000000027, 3.937497399999984, 5.568153499999994, 6.797893299999998, 11.236169700000005]"
red,67.53162249999997,67.61746360000001,0.0531508000000258,73.33857690000002,"[1.5931635000000028, 2.673992499999997, 3.7228554000000145, 4.91852990000001, 5.799997000000019]","[-0.2411111111111111, -0.21444444444444444, -0.20277777777777778, -0.04, -0.03277777777777778]","[0.11277777777777778, 0.01611111111111111, -0.13944444444444445, -0.07555555555555556, 0.021111111111111112]","[1.543757200000016, 2.6236739000000284, 3.6733417000000372, 4.868918199999996, 5.750574200000017]"
white,74.34122589999998,74.42448939999997,0.0647865999999908,80.3565635,"[1.3937748999999826, 2.9617357999999854, 3.885242699999992, 4.702657200000033, 6.015100300000029]","[0.13666666666666666, -0.05333333333333334, -0.21222222222222223, -0.06722222222222222, 0.20166666666666666]","[0.17055555555555554, 0.10055555555555555, -0.11888888888888889, -0.22944444444444445, -0.0077777777777777776]","[1.334404099999972, 2.9019382999999266, 3.825671199999931, 4.642414200000019, 5.9549420999999825]"
white,81.35186780000004,81.44391970000004,0.0610659999999825,86.57076889999996,"[1.1274531999999908, 1.9379600999999411, 3.132318899999973, 4.054041299999994, 5.212048999999979]","[-0.10444444444444445, -0.13444444444444445, -0.028333333333333332, 0.1322222222222222, 0.21666666666666667]","[0.11777777777777777, 0.05388888888888889, -0.145, -0.008888888888888889, -0.17666666666666667]","[1.0718058999999585, 1.8829365999999936, 3.076695500000028, 3.998852700000043, 5.156231199999979]"
red,87.57255999999995,87.65628349999997,0.0687120000000049,92.55311559999996,"[1.4402714000000287, 2.3501768999999513, 3.210640099999978, 4.103761299999974, 4.979661100000044]","[0.08833333333333333, 0.1338888888888889, 0.19611111111111112, 0.027777777777777776, -0.15666666666666668]","[0.22611111111111112, 0.0811111111111111, -0.1238888888888889, -0.21166666666666667, -0.16944444444444445]","[1.3766442000001007, 2.2866088000000673, 3.146839800000066, 4.0401028, 4.915834500000074]"
