Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-06T21:25:48.707214,multipleTargets,1,60,True,100.0,100.0,0,1209,416,"(285.15,197.91);(277.08,49.09);(102.36,355.12);(85.74,50.98);(282.83,380.98);(36.40,538.73)"
2026-02-06T21:26:04.587868,multipleTargets,2,140,True,100.0,100.0,0,1027,265,"(242.34,224.39);(166.90,274.85);(85.06,301.58);(156.53,149.99);(175.14,476.69);(33.89,462.91);(188.68,565.53);(280.65,555.52)"
2026-02-06T21:26:19.251302,multipleTargets,3,220,True,100.0,100.0,0,1469,416,"(183.51,167.56);(136.40,212.24);(173.54,298.82);(35.89,130.28);(60.26,79.84);(68.44,456.11);(197.30,465.45);(222.07,539.48)"
2026-02-06T21:26:57.525465,multipleTargets,4,320,True,100.0,100.0,0,1050,1934,"(222.46,236.53);(117.36,271.97);(181.32,327.39);(224.42,83.23);(39.21,216.09);(90.29,241.70);(44.56,589.43);(120.25,478.91);(208.57,124.16);(101.85,278.95)"
2026-02-06T21:27:34.357591,multipleTargets,5,410,True,100.0,100.0,0,1579,966,"(111.01,232.10);(198.93,217.98);(140.25,308.13);(154.70,458.10);(2.67,553.95);(71.45,229.79);(236.24,136.28);(311.59,234.64);(183.42,281.37)"
2026-02-06T21:27:57.825424,multipleTargets,6,510,True,100.0,100.0,0,1053,637,"(285.89,184.06);(256.66,299.17);(188.13,306.90);(231.58,307.27);(166.12,397.43);(18.31,395.65);(53.12,404.16);(227.59,587.78);(105.48,120.60);(114.14,60.72)"
2026-02-06T21:28:18.417895,multipleTargets,7,630,True,100.0,100.0,0,1018,721,"(272.30,250.26);(251.46,284.18);(258.28,429.80);(189.95,496.38);(16.40,355.28);(7.59,393.25);(144.03,259.07);(51.17,89.09);(318.87,28.09);(240.88,522.27);(102.10,557.05);(69.55,606.81)"
2026-02-06T21:28:42.356192,multipleTargets,8,730,True,100.0,100.0,0,1032,539,"(195.30,254.83);(136.50,202.40);(184.56,18.81);(230.88,273.20);(203.33,350.53);(317.07,399.31);(324.02,471.90);(247.42,459.38);(76.92,516.52);(19.47,176.25)"
2026-02-06T21:28:59.866629,multipleTargets,9,850,True,100.0,100.0,0,1116,659,"(192.09,164.99);(63.07,150.64);(214.54,324.68);(115.72,378.19);(303.57,346.12);(309.04,282.31);(321.46,548.37);(24.92,623.90);(145.57,492.48);(262.45,592.79);(159.02,11.88);(108.60,253.88)"
2026-02-06T21:29:26.380037,multipleTargets,10,990,True,100.0,100.0,0,1214,1053,"(215.38,151.89);(194.24,119.13);(99.57,61.54);(38.85,159.14);(50.10,61.99);(143.60,39.41);(3.35,217.08);(32.39,429.82);(184.77,469.40);(143.13,597.14);(50.90,604.93);(310.99,526.68);(243.88,501.33);(11.20,46.87)"
