Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-10T18:01:50.080596,multipleTargets,1,60,True,100.0,100.0,0,1041,350,"(60.92,274.13);(95.48,310.41);(206.71,275.92);(278.27,338.18);(246.74,454.97);(207.93,543.18)"
2026-02-10T18:02:01.273748,multipleTargets,2,140,True,100.0,100.0,0,927,237,"(79.02,255.01);(130.77,192.29);(222.78,252.40);(49.08,332.67);(132.54,423.63);(273.81,432.59);(128.17,556.34);(289.32,491.61)"
2026-02-10T18:02:10.685572,multipleTargets,3,215,True,88.89,100.0,1,1371,296,"(132.31,182.05);(222.80,216.63);(46.20,197.87);(70.61,92.63);(272.45,316.67);(51.52,386.79);(232.52,433.97);(79.18,565.44)"
2026-02-10T18:02:27.913967,multipleTargets,4,305,True,83.33,100.0,2,1039,1116,"(134.51,172.53);(24.45,241.82);(211.37,398.83);(30.43,420.79);(130.74,449.01);(53.85,625.11);(283.29,320.69);(141.48,605.16);(103.05,341.79);(242.42,194.66)"
2026-02-10T18:02:41.833158,multipleTargets,5,395,True,100.0,100.0,0,1616,704,"(235.31,228.61);(185.19,259.10);(170.28,122.99);(17.93,102.30);(231.21,48.85);(58.20,439.02);(274.98,446.19);(87.34,620.04);(139.53,458.46)"
2026-02-10T18:02:53.528208,multipleTargets,6,495,True,100.0,100.0,0,1077,499,"(148.09,157.51);(128.05,138.33);(182.86,68.30);(314.17,188.01);(216.94,340.11);(245.97,370.93);(47.06,218.58);(151.30,592.71);(42.00,354.71);(2.01,549.86)"
2026-02-10T18:03:09.331189,multipleTargets,7,615,True,100.0,100.0,0,1011,837,"(112.28,165.62);(95.97,34.96);(15.12,215.09);(20.53,314.84);(119.17,290.64);(67.35,384.74);(118.33,488.02);(180.89,562.85);(146.21,432.81);(312.98,358.88);(243.84,315.74);(42.02,16.89)"
2026-02-10T18:03:43.565886,multipleTargets,8,710,True,90.91,100.0,1,1076,834,"(154.17,170.09);(81.93,11.10);(177.46,22.34);(274.42,112.49);(236.34,122.98);(288.31,73.80);(20.31,389.43);(62.44,309.39);(256.03,68.52);(167.41,612.48)"
2026-02-10T18:03:57.037806,multipleTargets,9,830,True,100.0,100.0,0,1259,491,"(138.28,28.40);(187.72,57.21);(34.65,193.81);(43.43,260.69);(216.47,198.80);(283.22,260.15);(208.57,309.41);(257.02,218.91);(99.73,166.49);(39.61,235.18);(89.98,302.71);(168.90,228.22)"
2026-02-10T18:04:23.141712,multipleTargets,10,960,True,87.5,100.0,2,968,1158,"(73.23,132.49);(57.25,19.37);(118.75,150.65);(303.10,99.97);(245.92,120.10);(181.35,330.20);(255.83,395.17);(251.22,283.71);(15.82,293.46);(146.65,587.74);(193.07,488.78);(261.19,533.86);(108.55,395.91);(183.30,197.61)"
2026-02-10T18:04:45.557615,multipleTargets,11,1095,True,93.33,100.0,1,1214,1128,"(124.02,20.99);(178.85,107.80);(183.82,81.33);(29.49,175.88);(23.94,117.42);(206.61,63.19);(145.32,326.07);(221.60,111.15);(99.22,183.05);(61.81,111.39);(164.43,352.35);(87.39,465.06);(47.64,493.90);(268.29,477.03)"
2026-02-10T18:05:14.002656,multipleTargets,12,1235,True,88.24,100.0,2,1023,1576,"(22.02,167.07);(197.34,225.64);(50.33,179.58);(157.65,80.05);(6.87,193.30);(140.47,194.55);(110.64,126.59);(169.18,49.68);(75.52,129.07);(185.63,145.88);(182.63,97.09);(166.27,155.01);(24.80,560.90);(175.58,222.08);(5.19,509.93)"
2026-02-10T18:05:45.351835,multipleTargets,13,1310,True,51.85,100.0,13,1145,1875,"(157.87,140.66);(198.56,90.09);(29.51,1.84);(276.84,298.02);(297.42,228.15);(221.33,165.10);(78.49,129.81);(72.43,63.32);(21.14,246.98);(50.96,309.26);(190.49,248.21);(148.85,249.99);(219.58,511.43);(57.58,236.89)"
