Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-10T18:10:42.095485,multipleTargets,1,60,True,100.0,100.0,0,1061,348,"(184.52,174.85);(77.01,141.12);(264.40,280.64);(158.06,340.64);(162.90,464.42);(62.60,550.58)"
2026-02-10T18:11:14.401473,multipleTargets,2,140,True,100.0,100.0,0,1190,399,"(157.60,204.00);(229.92,142.07);(56.53,242.44);(237.81,62.84);(202.43,58.09);(128.49,406.48);(105.61,462.44);(106.08,585.04)"
2026-02-10T18:11:40.762452,multipleTargets,3,220,True,100.0,100.0,0,1188,374,"(216.49,142.21);(148.30,79.36);(107.51,221.72);(77.32,337.58);(73.31,369.01);(201.86,359.64);(107.43,496.01);(215.92,553.67)"
2026-02-10T18:12:14.030619,multipleTargets,4,320,True,100.0,100.0,0,1119,1837,"(222.93,47.11);(37.71,308.24);(112.54,279.34);(72.82,202.74);(298.68,591.67);(324.26,615.50);(266.44,625.21);(139.27,382.60);(139.70,61.38);(109.67,265.48)"
2026-02-10T18:12:41.830493,multipleTargets,5,410,True,100.0,100.0,0,2004,829,"(11.65,112.97);(118.09,126.10);(139.71,12.72);(280.23,52.14);(310.03,85.29);(144.39,263.21);(315.70,211.91);(205.02,323.75);(155.00,351.24)"
2026-02-10T18:13:17.988029,multipleTargets,6,470,True,55.56,100.0,8,12246,806,"(7.20,73.51);(200.20,35.92);(296.82,68.22);(282.21,189.36);(237.59,321.03);(287.64,284.86);(192.93,557.72);(274.93,576.65);(42.08,511.19);(166.05,315.73)"
2026-02-10T18:13:57.368246,multipleTargets,5,560,True,100.0,100.0,0,1378,772,"(161.54,73.71);(41.21,11.21);(298.39,127.38);(223.49,166.66);(58.56,325.73);(111.57,537.57);(29.78,571.95);(113.16,516.71);(290.09,126.74)"
2026-02-10T18:14:18.720436,multipleTargets,6,655,True,90.91,100.0,1,1189,590,"(87.31,202.72);(152.40,228.72);(9.26,305.47);(236.96,392.73);(87.58,452.60);(67.27,583.12);(316.36,412.45);(272.26,614.82);(9.34,133.09);(230.56,304.77)"
2026-02-10T18:14:36.781465,multipleTargets,7,765,True,85.71,100.0,2,1100,1208,"(205.43,118.75);(307.29,70.31);(184.91,258.82);(35.04,128.54);(266.49,390.08);(254.08,298.07);(69.88,477.58);(178.46,165.34);(21.05,478.98);(100.30,438.16);(165.08,583.82);(124.09,84.12)"
2026-02-10T18:14:53.833272,multipleTargets,8,865,True,100.0,100.0,0,1370,568,"(18.47,230.85);(45.19,143.70);(16.54,103.85);(278.76,265.88);(137.60,29.05);(255.73,21.60);(108.08,367.73);(70.04,607.12);(227.56,585.09);(267.71,521.84)"
2026-02-10T18:15:17.056023,multipleTargets,9,985,True,100.0,100.0,0,1197,1007,"(117.81,208.23);(27.78,184.37);(171.88,171.35);(75.38,387.10);(97.36,410.16);(267.60,210.45);(6.49,258.45);(288.61,477.19);(190.41,489.64);(61.38,354.55);(50.50,455.42);(206.62,319.94)"
2026-02-10T18:15:52.827209,multipleTargets,10,1125,True,100.0,100.0,0,1584,1511,"(204.66,85.21);(210.97,156.86);(116.24,240.34);(148.48,256.45);(182.90,284.00);(262.73,84.92);(279.88,6.62);(82.11,445.70);(130.83,574.15);(218.85,550.54);(138.88,575.18);(228.64,390.88);(281.97,150.65);(53.58,234.46)"
