Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-08T12:38:05.245751,multipleTargets,1,60,True,100.0,100.0,0,1487,557,"(67.46,206.30);(44.50,155.21);(88.42,36.49);(252.06,100.97);(162.55,501.91);(263.85,444.52)"
2026-02-08T12:38:32.226927,multipleTargets,2,140,True,100.0,100.0,0,1282,412,"(141.12,172.54);(147.23,72.11);(90.90,312.06);(118.46,358.64);(196.46,274.28);(273.25,410.43);(279.56,479.00);(97.25,482.57)"
2026-02-08T12:38:47.965113,multipleTargets,3,220,True,100.0,100.0,0,1592,830,"(199.54,61.13);(135.81,34.32);(294.13,121.60);(130.52,176.62);(53.25,360.81);(132.21,462.44);(205.94,379.59);(207.64,560.54)"
2026-02-08T12:39:16.089866,multipleTargets,4,315,True,90.91,100.0,1,1642,2056,"(214.08,76.84);(164.34,145.69);(94.59,256.59);(12.06,176.68);(109.41,234.91);(154.53,471.14);(203.03,493.11);(253.84,600.86);(188.44,495.68);(298.76,7.98)"
2026-02-08T12:39:41.366408,multipleTargets,5,405,True,100.0,100.0,0,5236,1133,"(109.08,88.39);(74.69,81.22);(150.43,79.72);(131.45,30.06);(243.64,168.53);(80.85,138.75);(215.18,229.99);(176.43,485.75);(120.96,498.05)"
2026-02-08T12:40:05.740882,multipleTargets,6,500,True,90.91,100.0,1,4489,1478,"(322.63,322.64);(203.01,345.53);(206.77,397.50);(147.48,426.15);(260.92,310.21);(184.35,324.97);(148.59,116.63);(137.40,256.81);(220.99,291.36);(159.83,521.53)"
2026-02-08T12:40:35.701586,multipleTargets,7,620,True,100.0,100.0,0,1800,1628,"(119.18,231.99);(209.50,194.87);(212.76,1.58);(40.69,63.88);(323.07,400.49);(319.61,354.94);(0.74,428.14);(13.11,391.28);(58.12,509.69);(193.29,109.86);(261.90,169.04);(280.28,22.84)"
2026-02-08T12:40:53.394475,multipleTargets,8,715,True,90.91,100.0,1,1505,1078,"(250.74,268.82);(149.65,259.47);(136.22,365.61);(180.56,405.31);(35.77,197.91);(95.04,238.05);(40.62,29.77);(266.07,590.59);(232.74,536.20);(27.42,138.77)"
2026-02-08T12:41:11.754694,multipleTargets,9,835,True,100.0,100.0,0,1220,908,"(168.86,239.20);(212.40,181.00);(197.16,2.40);(197.88,3.42);(161.71,140.82);(50.58,98.88);(246.01,187.21);(186.53,351.98);(34.22,394.07);(44.92,378.30);(34.48,532.79);(245.60,599.96)"
2026-02-08T12:41:47.464491,multipleTargets,10,965,True,87.5,100.0,2,1940,1672,"(168.58,185.98);(199.60,164.11);(229.55,205.24);(245.64,208.08);(272.79,173.16);(202.44,132.29);(179.69,64.62);(133.58,125.55);(55.98,4.68);(232.29,312.29);(170.35,422.37);(281.87,332.05);(221.50,574.02);(9.25,49.20)"
