target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,instruct.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.00763340000048629,0.028946100001121522,0.0073753000015130965,54.028709700000036,0.020555555555555556,0.017222222222222222,1,0,0,,,,,,,,,,,,,,,,,,,,,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
white,0,0,0,1,55.71626660000038,,,,,,,,,,,54.06004480000047,55.71626660000038,0.10848599999917496,55.71626660000038,55.71626660000038,62.95783490000031,"[3.7361648000005516, 4.867395299999771, 6.021161500000744, 7.193273999999292, 8.926095599999826]","[-0.12444444444444444, -0.02277777777777778, 0.06888888888888889, 0.17944444444444443, -0.07555555555555556]","[-0.065, -0.2338888888888889, -0.20833333333333334, -0.20555555555555555, 0.21833333333333332]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[3.6357762000006915, 4.766810999999507, 5.920468199999959, 7.092248099999779, 8.82511440000053]","['target_4', 'target_1', 'target_0', 'target_2', 'target_3']",62.958855400000175,62.97492280000006,62.97492280000006,63.96683500000108,,,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
red,0,1,1,2,64.05597850000049,,,,,,,,,,,63.96794130000126,64.05597850000049,0.0751882000004116,64.05597850000049,64.05597850000049,72.09160180000072,"[3.774557900000218, 4.7804300999996485, 5.78569140000036, 7.00452899999982, 8.131179699999848]","[-0.075, -0.175, -0.19611111111111112, -0.22166666666666668, 0.17888888888888888]","[-0.055, -0.023333333333333334, 0.08888888888888889, -0.16722222222222222, -0.01888888888888889]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[3.702141900001152, 4.708400400000755, 5.7130778999999166, 6.931875800000853, 8.05859480000072]","['target_4', 'target_3', 'target_1', 'target_2', 'target_0']",72.0923199000008,72.09967040000083,72.09967040000083,73.09874180000043,,,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
white,0,2,2,0,73.20273180000004,,,,,,,,,,,73.09954490000018,73.20273180000004,0.08309270000063407,73.20273180000004,73.20273180000004,79.47083620000012,"[1.7081047000010585, 2.324546100000589, 4.394994800000859, 5.3167463000008865, 6.376862700000856]","[-0.19833333333333333, -0.09277777777777778, 0.08166666666666667, 0.08, 0.1638888888888889]","[0.24333333333333335, 0.23222222222222222, 0.08444444444444445, 0.006111111111111111, -0.013888888888888888]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.6305879999999888, 2.661438499999349, 4.316822999999204, 5.23852319999969, 6.298692799999117]","['target_4', 'target_1', 'target_2', 'target_3', 'target_0']",79.47149020000143,79.47930860000088,79.47930860000088,80.4658443999997,80.57621980000113,80.57621980000113,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
white,1,0,3,0,80.57621980000113,,,,,,,,,,,80.46654990000025,80.57621980000113,0.07732419999956619,80.57621980000113,80.57621980000113,87.32400469999993,"[1.9448941999999079, 2.915214399999968, 4.288577799999985, 5.514602699999159, 6.850831699999617]","[0.021666666666666667, 0.18333333333333332, 0.012222222222222223, -0.17166666666666666, 0.18944444444444444]","[0.21722222222222223, 0.19777777777777777, 0.051111111111111114, -0.0044444444444444444, -0.06444444444444444]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.8736291999994137, 2.84338310000021, 4.216575500000545, 5.442511100000047, 6.77892840000095]","['target_2', 'target_3', 'target_4', 'target_0', 'target_1']",87.32471170000099,87.33255110000027,87.33255110000027,88.33075860000099,,,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
red,1,1,4,2,88.42306290000124,,,,,,,,,,,88.33198000000084,88.42306290000124,0.07553499999994528,88.42306290000124,88.42306290000124,95.00103300000046,"[1.9553056999993714, 3.109252899999774, 4.032945299999483, 5.330224899998939, 6.674867300000187]","[-0.19444444444444445, -0.06055555555555556, 0.015, 0.20833333333333334, 0.22833333333333333]","[0.15777777777777777, 0.03277777777777778, -0.03277777777777778, 0.26, -0.013333333333333334]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.8849408000005496, 3.038663600000291, 3.9627897999998822, 5.259381500000018, 6.603999599999952]","['target_3', 'target_2', 'target_1', 'target_0', 'target_4']",95.0016840999997,95.0094140000001,95.0094140000001,95.99685450000106,96.08908530000008,96.08908530000008,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
white,1,2,5,1,96.08908530000008,,,,,,,,,,,95.99760250000145,96.08908530000008,0.05943719999959285,96.08908530000008,96.08908530000008,103.33057490000101,"[1.2178285000009055, 2.9669192000001203, 4.552143099999739, 5.772590200000195, 7.32653449999998]","[-0.04888888888888889, -0.22444444444444445, -0.013888888888888888, 0.02, 0.10444444444444445]","[0.23777777777777778, -0.10277777777777777, 0.0022222222222222222, -0.13555555555555557, -0.15166666666666667]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.1615068999999494, 2.910163900000043, 4.495596500000829, 5.715977900001235, 7.270305400001234]","['target_2', 'target_1', 'target_4', 'target_3', 'target_0']",103.33167370000047,103.3416326000006,103.3416326000006,104.32787570000073,104.41448570000102,104.41448570000102,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
white,2,0,6,0,104.41448570000102,,,,,,,,,,,104.32831910000095,104.41448570000102,0.060794299999543,104.41448570000102,104.41448570000102,111.56115230000069,"[2.1811484999998356, 3.66026520000014, 4.971213099999659, 6.088514600000053, 7.227959300000293]","[0.10222222222222223, -0.11222222222222222, -0.08, 0.06111111111111111, 0.17833333333333334]","[-0.09833333333333333, -0.1288888888888889, -0.23, -0.18444444444444444, -0.20944444444444443]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2.1263629000004585, 3.6049495000006573, 4.91573199999948, 6.033005299999786, 7.1724255999997695]","['target_1', 'target_2', 'target_0', 'target_4', 'target_3']",111.56183670000064,111.5695549000011,111.5695549000011,112.56148810000013,112.65328729999965,112.65328729999965,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
red,2,1,7,2,112.65328729999965,,,,,,,,,,,112.56235590000142,112.65328729999965,0.06918920000134676,112.65328729999965,112.65328729999965,118.25506230000065,"[1.4492089000013948, 2.5702817000001232, 3.495971100001043, 4.586689400000978, 5.691794300000765]","[-0.11833333333333333, 0.11388888888888889, 0.125, 0.06222222222222222, -0.085]","[0.16055555555555556, 0.19444444444444445, -0.06555555555555556, -0.16833333333333333, -0.21444444444444444]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.385407199999463, 2.506174000000101, 3.4317886000008, 4.522487100000944, 5.627429699999993]","['target_1', 'target_2', 'target_0', 'target_3', 'target_4']",118.25576040000124,118.2635418000009,118.2635418000009,119.2594208999999,,,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
white,2,2,8,1,119.35110150000037,,,,,,,,,,,119.26034980000077,119.35110150000037,0.07317909999983385,119.35110150000037,119.35110150000037,125.00742890000038,"[1.2544137999993836, 2.551465599999574, 3.5317950999997265, 4.5891131999997015, 5.750034400000004]","[-0.20722222222222222, -0.225, -0.21611111111111111, -0.1438888888888889, -0.04611111111111111]","[0.2477777777777778, -0.12833333333333333, -0.21611111111111111, -0.07555555555555556, -0.15055555555555555]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.1869150000002264, 2.48335600000064, 3.4634743000005983, 4.520879700001387, 5.681760600000416]","['target_0', 'target_4', 'target_3', 'target_2', 'target_1']",125.00808150000012,125.0159177000005,125.0159177000005,126.0086640999998,126.10054740000123,126.10054740000123,,,26,001,2026-02-06_15h57.34.272,visual_search,2024.1.5,None,2026-02-06 15h57.53.383819 +0530,
