target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,instruct.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.009581099999650178,0.016461100000014994,0.00928959999964718,11.998425599999791,-0.10777777777777778,0.12277777777777778,1,0,0,,,,,,,,,,,,,,,,,,,,,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
red,0,0,0,2,12.083075699999881,,,,,,,,,,,12.010175399999753,12.083075699999881,0.06633349999992788,12.083075699999881,12.083075699999881,17.096864899999673,"[1.4184792999999445, 1.8990782999999283, 3.151046999999835, 4.1846175999999105, 5.096061799999916]","[-0.013888888888888888, -0.05388888888888889, 0.08833333333333333, 0.12333333333333334, -0.14222222222222222]","[0.22611111111111112, 0.11777777777777777, 0.15888888888888889, -0.09833333333333333, -0.09388888888888888]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3574319999997897, 2.121260599999914, 3.0899042999999438, 4.123629700000038, 5.0351567999996405]","['target_4', 'target_0', 'target_2', 'target_3', 'target_1']",17.09850789999973,17.115548999999646,17.115548999999646,18.100665399999798,,,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
white,0,1,1,0,18.18969739999966,,,,,,,,,,,18.10127429999966,18.18969739999966,0.0760417999999845,18.18969739999966,18.18969739999966,24.40596209999967,"[1.86921220000022, 2.979370000000017, 3.9994879999999284, 5.5330173000002105, 6.304843299999902]","[-0.059444444444444446, 0.027777777777777776, 0.2288888888888889, -0.08833333333333333, -0.225]","[0.1922222222222222, 0.13555555555555557, 0.15166666666666667, -0.19111111111111112, -0.2361111111111111]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.7961181999999098, 2.905496299999868, 3.925393399999848, 5.459279900000183, 6.231980300000032]","['target_0', 'target_1', 'target_2', 'target_3', 'target_4']",24.40679199999977,24.415374599999723,24.415374599999723,25.40083689999983,25.494289899999785,25.494289899999785,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
white,0,2,2,1,25.494289899999785,,,,,,,,,,,25.401378699999896,25.494289899999785,0.06268800000043484,25.494289899999785,25.494289899999785,31.272893399999703,"[1.8108009000002312, 2.9617136000001665, 3.9737724000001435, 4.90374890000021, 5.864072800000031]","[-0.21833333333333332, -0.1638888888888889, -0.16, 0.13166666666666665, 0.15222222222222223]","[0.2338888888888889, 0.19111111111111112, 0.09055555555555556, 0.11611111111111111, -0.10222222222222223]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.7542197000002488, 2.904560400000264, 3.9170161000001826, 4.8465102000000115, 5.806939099999909]","['target_1', 'target_4', 'target_3', 'target_0', 'target_2']",31.273938299999827,31.282858099999885,31.282858099999885,32.2662178999999,32.35961550000002,32.35961550000002,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
white,1,0,3,1,32.35961550000002,,,,,,,,,,,32.26676009999983,32.35961550000002,0.06243350000022474,32.35961550000002,32.35961550000002,38.175800399999844,"[1.8322269000000233, 3.0015493999999308, 4.036553100000219, 4.948271900000236, 5.899964000000182]","[-0.041666666666666664, -0.16555555555555557, -0.015, -0.18166666666666667, 0.05611111111111111]","[0.1527777777777778, 0.02, -0.09222222222222222, -0.20222222222222222, -0.25222222222222224]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.7763079999999718, 2.944975799999611, 3.9796345999998266, 4.891811199999665, 5.843343499999719]","['target_1', 'target_0', 'target_3', 'target_2', 'target_4']",38.17686499999991,38.18556099999978,38.18556099999978,39.17622059999985,39.25175730000001,39.25175730000001,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
white,1,1,4,0,39.25175730000001,,,,,,,,,,,39.17669889999979,39.25175730000001,0.058592899999894144,39.25175730000001,39.25175730000001,45.46628839999994,"[1.7471610000002329, 2.7129085999999916, 3.667058099999849, 4.777749700000186, 6.287091600000167]","[-0.09555555555555556, 0.24388888888888888, 0.09111111111111111, -0.08388888888888889, 0.24222222222222223]","[0.155, 0.2, 0.09333333333333334, -0.20166666666666666, -0.20777777777777778]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.6936264000000847, 2.6587789000000157, 3.6133647000001474, 4.723230400000375, 6.232783800000107]","['target_1', 'target_4', 'target_0', 'target_3', 'target_2']",45.46716049999986,45.47600179999972,45.47600179999972,46.46453429999974,46.556989899999735,46.556989899999735,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
red,1,2,5,2,46.556989899999735,,,,,,,,,,,46.465039499999875,46.556989899999735,0.06385529999988648,46.556989899999735,46.556989899999735,52.087369699999726,"[1.5979992999996284, 2.510693799999899, 3.702933799999755, 4.543297100000018, 5.61898519999977]","[0.12333333333333334, -0.017777777777777778, -0.14777777777777779, -0.19666666666666666, 0.25055555555555553]","[0.14444444444444443, -0.06222222222222222, -0.1338888888888889, -0.025, -0.14833333333333334]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.538398799999868, 2.450368400000116, 3.642810499999996, 4.482614499999727, 5.557774399999744]","['target_0', 'target_1', 'target_4', 'target_2', 'target_3']",52.087859399999616,52.09261579999975,52.09261579999975,53.0851662,53.16308789999994,53.16308789999994,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
white,2,0,6,0,53.16308789999994,,,,,,,,,,,53.085754299999735,53.16308789999994,0.05507639999996172,53.16308789999994,53.16308789999994,58.64573359999986,"[1.4210938999999598, 2.4098457999998573, 3.3874621999998453, 4.736540800000057, 5.555623499999911]","[-0.02722222222222222, -0.02388888888888889, 0.06777777777777778, 0.21666666666666667, 0.18722222222222223]","[0.16944444444444445, -0.021666666666666667, -0.0811111111111111, -0.255, -0.13166666666666665]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3704545000000508, 2.3582423000002564, 3.3366421999999147, 4.68617549999999, 5.5046682000001965]","['target_3', 'target_0', 'target_4', 'target_2', 'target_1']",58.646647499999744,58.65634299999965,58.65634299999965,59.64025169999968,59.72487569999976,59.72487569999976,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
white,2,1,7,1,59.72487569999976,,,,,,,,,,,59.6407878,59.72487569999976,0.055081800000152725,59.72487569999976,59.72487569999976,65.01916439999968,"[1.3817066999999952, 2.499544700000115, 3.4921093000002656, 4.380811900000026, 5.370383200000106]","[-0.04777777777777778, 0.11777777777777777, 0.22555555555555556, 0.03611111111111111, 0.11722222222222223]","[0.2088888888888889, 0.10777777777777778, 0.20333333333333334, 0.050555555555555555, -0.07055555555555555]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3107291999999688, 2.4491479999996955, 3.4413673999997627, 4.3301503999996385, 5.31971859999976]","['target_0', 'target_2', 'target_4', 'target_3', 'target_1']",65.02007009999988,65.02973389999988,65.02973389999988,66.01739950000001,66.0940814999999,66.0940814999999,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
red,2,2,8,2,66.0940814999999,,,,,,,,,,,66.01795279999988,66.0940814999999,0.05397640000001047,66.0940814999999,66.0940814999999,71.74994179999976,"[1.2512735000000248, 2.1992826999999124, 3.0335024999999405, 4.765320900000006, 5.7282648999998855]","[-0.15222222222222223, 0.07888888888888888, 0.15166666666666667, -0.12944444444444445, -0.21]","[0.24222222222222223, 0.03722222222222222, -0.06277777777777778, -0.195, -0.14055555555555554]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.2013944999998785, 2.148897500000203, 2.983172000000195, 4.715830499999811, 5.678131799999846]","['target_2', 'target_0', 'target_3', 'target_1', 'target_4']",71.75051329999997,71.75775619999968,71.75775619999968,72.74966670000003,72.83372689999987,72.83372689999987,,,31,001,2026-02-07_06h42.42.482,visual_search,2024.1.5,None,2026-02-07 06h42.55.176740 +0530,
