participant_id,condition,modality,trial_type,is_target_trial,RT_ms,hit,false_alarm,n_clicks,inter_click_ms,trial_duration_ms,source_file,Level,PlayerID,Timestamp,GameMode,final_score,Completed,success_rate,hit_rate,false_alarms,avg_inter_target_ms,"HitPositions(x,y)",failed_levels
23,Multiple,Lab,red,True,1196.516900000006,0.8,0.0,4.0,1075.6676249999941,5497.555799999873,23_visual_search_2026-02-06_13h54.30.043.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,2361.696400000028,,0.0,5.0,1054.4514499999877,6532.3015000001305,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,2752.3853000000145,,0.0,5.0,1213.1443249999734,7590.612299999975,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,red,True,3679.1728999999123,1.0,0.0,5.0,1179.8109999999724,8392.973199999915,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1592.7373999998053,,0.0,5.0,1746.9166500000028,8578.008899999986,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,red,True,1901.8306999998913,1.0,0.0,5.0,1217.5618250000184,6769.635600000129,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1658.288999999968,,0.0,5.0,1497.6255750000291,7654.450600000018,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1759.1046999998525,,0.0,5.0,1416.934450000042,7435.168800000156,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1663.0296000000726,,0.0,5.0,1118.5191749999603,6142.7501999999095,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,red,True,1125.2234000000954,1.0,0.0,5.0,1031.8960750000201,5248.336699999982,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1748.7284999999702,,0.0,5.0,1101.7358999999942,6155.936699999984,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,3788.0104999999276,,0.0,5.0,1517.1230749999722,9850.440899999967,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,red,True,1156.177200000002,1.0,0.0,5.0,1156.4288999999803,5784.547599999996,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,red,True,2774.1349999998874,1.0,0.0,5.0,1172.643375000007,7454.2569000000185,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1444.0394000000651,,0.0,5.0,1852.9425250000031,8861.928199999966,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
24,Multiple,Lab,white,False,1609.1377000000193,,0.0,5.0,1046.406324999964,5795.682400000032,24_visual_search_2026-02-06_13h51.11.393.csv,,,,,,,,,,,,
25,Multiple,Lab,red,True,1367.1047000007093,1.0,0.0,5.0,1205.9868500000448,6179.7210999993695,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1701.5052999995532,,0.0,5.0,2690.790024999842,12453.290100000231,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1811.0830999994505,,0.0,5.0,1590.6254000001354,8175.568099999509,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1392.504800000097,,0.0,5.0,1174.7382499997912,6087.33249999932,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,red,True,1202.3164999991423,1.0,0.0,5.0,1122.0719749999262,5697.609200000443,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1497.8210999997827,,0.0,5.0,1316.5137000000868,6764.459399999396,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1395.1851000001625,,0.0,5.0,1640.9743999997772,7960.697600001367,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1231.6571999999724,,0.0,5.0,1179.135424999913,5945.122899998751,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,red,True,1283.9122999994288,1.0,0.0,5.0,1153.8862500001414,5900.031000001036,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,red,True,1545.3863999991881,1.0,0.0,5.0,1293.1815500000994,6718.984099999943,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1620.632600001045,,0.0,5.0,1426.918950000072,7333.26549999947,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1449.880000000121,,0.0,5.0,1160.8636999999362,6098.83710000031,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1231.3078999995923,,0.0,5.0,1394.9440999999752,6815.158899999005,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,red,True,1090.4745999996521,1.0,0.0,5.0,1031.204075000005,5215.936900000088,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
25,Multiple,Lab,white,False,1275.872000000163,,0.0,5.0,1087.6519499997812,5627.684899998712,25_visual_search_2026-02-06_16h02.12.148.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,3736.1648000005516,,0.0,5.0,1297.4826999998186,8897.790099999838,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,red,True,3774.557900000218,1.0,0.0,5.0,1089.1554499999074,8123.66049999946,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1708.1047000010585,,0.0,5.0,1167.1894999999495,6371.291299999939,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1944.8941999999079,,0.0,5.0,1226.4843749999272,6857.454799999687,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,red,True,1955.3056999993714,1.0,0.0,5.0,1179.890400000204,6669.0529999996215,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1217.8285000009055,,0.0,5.0,1527.1764999997686,7332.972399999562,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,2181.1484999998356,,0.0,5.0,1261.7027000001144,7232.833199999732,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,red,True,1449.2089000013948,1.0,0.0,5.0,1060.6463499998426,5692.706399999224,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1254.4137999993836,,0.0,5.0,1123.9051500001551,5747.07909999961,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,red,True,1339.3080999994709,1.0,0.0,5.0,1133.102599999802,5871.915199999421,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1314.9329999996553,,0.0,5.0,1539.5681749996584,7480.566899999758,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1126.2421999999788,,0.0,5.0,1050.3023249998478,5328.4165999994,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,red,True,1769.5509000004677,1.0,0.0,5.0,1160.3193249998185,6409.9934000005305,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1383.783699999185,,0.0,5.0,1294.5531750001464,6559.430999999677,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
26,Multiple,Lab,white,False,1584.5778999992035,,0.0,5.0,1192.8149250002207,6353.011199998946,26_visual_search_2026-02-06_15h57.34.272.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1197.8791999999885,,0.0,5.0,1302.5056999999974,6376.121099999978,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1164.9097000000097,,0.0,5.0,1408.6382999999928,6802.710399999967,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,red,True,2192.252900000028,1.0,0.0,5.0,1034.878175000003,6337.721399999964,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1721.4045000000056,,0.0,5.0,1247.0183000000077,6717.743799999994,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,2539.614400000005,,0.0,5.0,2185.4561500000073,11280.73420000004,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,red,True,1593.1635000000028,1.0,0.0,5.0,1051.708375000004,5806.9544000000515,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1393.7748999999826,,0.0,5.0,1155.3313500000115,6015.33760000001,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1127.4531999999908,,0.0,5.0,1021.1489499999971,5218.9010999999255,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,red,True,1440.2714000000287,1.0,0.0,5.0,884.8474250000038,4980.555600000002,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
