target_col,trial.started,mouse.started,square.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,3.404027000000042,0.1879513000000088,3.427604500000029,3.427604500000029,5.232736400000022,[-0.22333333333333333],[0.13444444444444445],[1.8274102000000312]
white,6.305834200000049,0.0726848000000472,6.325037700000053,6.325037700000053,8.564163300000018,[-0.057777777777777775],[-0.16722222222222222],[2.25727930000005]
red,9.646657900000037,0.0821240000000216,9.66835130000004,9.66835130000004,10.86534000000006,[0.10444444444444445],[-0.08],[1.2164314999999988]
white,11.942682600000012,0.0769985999999107,11.96703309999998,11.96703309999998,13.499395700000036,[-0.07833333333333334],[0.0961111111111111],[1.5556417000000238]
red,14.596631399999978,0.0970130000000608,14.62950920000003,14.62950920000003,15.949516399999991,[0.20166666666666666],[-0.08],[1.3519232000001011]
white,17.030613099999982,0.080807400000026,17.056316100000004,17.056316100000004,18.28307359999997,[0.10111111111111111],[0.02666666666666667],[1.2513584999999239]
red,19.35533350000003,0.0719000999999934,19.376125500000057,19.376125500000057,20.49979989999997,[0.1811111111111111],[-0.006666666666666667],[1.143573100000026]
white,21.56892100000005,0.0689568000000235,21.594036200000005,21.594036200000005,23.017381800000067,[-0.008333333333333333],[-0.075],[1.4474635999999919]
white,24.098036800000045,0.0803521000000273,24.12313949999998,24.12313949999998,26.95308209999996,[-0.10055555555555555],[0.22333333333333333],[2.853918300000032]
red,28.037390800000026,0.0839869999999791,28.063496800000053,28.063496800000053,29.687186500000053,[0.05277777777777778],[-0.06],[1.6487263000000212]
white,30.76465200000007,0.0771757999999636,30.791673899999974,30.791673899999974,33.471336000000065,[-0.2],[-0.055],[2.7055071999999427]
white,34.5550829,0.0834575000000086,34.57765660000007,34.57765660000007,35.85506770000006,[-0.08],[0.22722222222222221],[1.2990346999999929]
red,36.92600230000005,0.0706457999999656,36.95145020000007,36.95145020000007,39.17240860000004,[0.1238888888888889],[0.2011111111111111],[2.24555399999997]
white,40.25049220000005,0.077847199999951,40.27761240000007,40.27761240000007,41.95720700000004,[-0.021111111111111112],[0.03333333333333333],[1.70506110000008]
white,43.04005630000006,0.0821356999999807,43.06260929999996,43.06260929999996,45.0252514,[-0.205],[0.075],[1.9838614000000234]
,,,,,,,,
