target_col,trial.started,mouse.started,square.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,16.620429700000386,0.176476000000548,16.763854699995136,16.763854699995136,18.36959829999978,[-0.15222222222222223],[0.06944444444444445],[1.6423930000019027]
white,19.372969599993667,0.0742104000019026,19.484085599993705,19.484085599993705,21.03520889999345,[0.11333333333333333],[-0.05333333333333334],[1.5884514999997918]
red,22.039618999995582,0.0812456000057864,22.15239709999878,22.15239709999878,23.24117289999413,[0.2577777777777778],[0.1111111111111111],[1.1230722999971476]
red,24.25655129999359,0.0889261999982409,24.362187499995343,24.362187499995343,25.447502999995777,[0.16944444444444445],[0.20055555555555554],[1.1153230999989319]
white,26.45523539999704,0.0850404000011622,26.56900279999536,26.56900279999536,28.592753699995228,[0.20944444444444443],[-0.06444444444444444],[2.058106399999815]
white,29.60482989999582,0.0826629999937722,29.702625699996133,29.702625699996133,31.192281399999047,[0.15388888888888888],[-0.07833333333333334],[1.5148238999972818]
white,32.20449059999373,0.0872830000007525,32.31190339999739,32.31190339999739,34.23085379999975,[0.06277777777777778],[0.15666666666666668],[1.949740899995959]
white,35.23745499999495,0.1017907999994349,35.37355249999382,35.37355249999382,37.0193547999952,[0.1922222222222222],[-0.14166666666666666],[1.6850190000041039]
red,38.03727699999581,0.0982210000001941,38.1515361999991,38.1515361999991,39.23743619999732,[0.06111111111111111],[-0.01888888888888889],[1.118176299998595]
white,40.25357439999789,0.0892898000020068,40.36358759999712,40.36358759999712,42.361424899994745,[-0.06222222222222222],[-0.15888888888888889],[2.0324515999964206]
red,43.36981509999896,0.0902371999982278,43.490422599999874,43.490422599999874,44.58590659999754,[0.18055555555555555],[-0.015555555555555555],[1.1320407999955933]
white,45.60284779999347,0.104863500004285,45.72816939999757,45.72816939999757,47.084765899999184,[-0.09],[0.13277777777777777],[1.3921905999959563]
white,48.08656079999491,0.0776455999948666,48.20212779999565,48.20212779999565,49.48159269999451,[-0.08777777777777777],[-0.23444444444444446],[1.317483099999663]
red,50.48546109999734,0.0873874999961117,50.60727489999408,50.60727489999408,51.5907087999949,[0.18333333333333332],[0.21444444444444444],[1.0194208999964758]
white,52.60172099999909,0.0946323000025586,52.7278354999944,52.7278354999944,53.79257759999746,[0.145],[-0.05],[1.1052774000054342]
,,,,,,,,
