target_col,trial.started,mouse.started,square.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,4.83890159999919,0.048612999999932,4.852898499999355,4.852898499999355,6.424601299999267,[-0.18444444444444444],[0.12166666666666667],[1.5846288999991884]
white,7.479788599999665,0.0548735000002125,7.491826799999217,7.491826799999217,8.94235739999931,[-0.06888888888888889],[0.1922222222222222],[1.4616648000001078]
red,10.000440199999504,0.0578688000005058,10.012433999999304,10.012433999999304,11.545660899999348,[0.20055555555555554],[-0.10055555555555555],[1.544093200000134]
white,12.598708299999998,0.0526945000001433,12.611474299999829,12.611474299999829,13.993891099999928,[-0.15333333333333332],[0.18666666666666668],[1.3933900000001813]
white,15.03890339999998,0.044666199999483,15.05086239999946,15.05086239999946,16.33023669999966,[-0.0044444444444444444],[0.10111111111111111],[1.2903355999997075]
red,17.392580599999746,0.0621292000005269,17.404787799999212,17.404787799999212,18.962289099999907,[-0.11944444444444445],[-0.08333333333333333],[1.5687041999999565]
red,20.00603129999945,0.0434371000001192,20.018446799999765,20.018446799999765,21.345534000000043,[0.03722222222222222],[0.042777777777777776],[1.3384476000001087]
white,22.394959799999924,0.0491547999999966,22.40735129999939,22.40735129999939,23.7479186999999,[0.045],[-0.1288888888888889],[1.3513446000006297]
white,24.787279499999386,0.0391147999998793,24.800646400000005,24.800646400000005,26.03296599999976,[-0.1411111111111111],[-0.16777777777777778],[1.2446373000002495]
red,27.08640379999997,0.0532051000000137,27.098609299999225,27.098609299999225,28.34780409999985,[0.09555555555555556],[-0.12944444444444445],[1.260494699999981]
white,29.385341199999857,0.0372013000005608,29.398184699999547,29.398184699999547,31.048918699999376,[0.235],[-0.15888888888888889],[1.662614400000166]
white,32.0871819999993,0.0380501999998159,32.10067789999994,32.10067789999994,33.65255669999988,[-0.17444444444444446],[-0.03277777777777778],[1.5642688999996608]
white,34.705379600000015,0.0524844999999913,34.71912909999992,34.71912909999992,35.98694769999929,[-0.005],[-0.03111111111111111],[1.280130399999507]
white,37.03859639999973,0.0512393999997584,37.05209249999916,37.05209249999916,38.45333489999939,[-0.23722222222222222],[-0.050555555555555555],[1.41367530000025]
red,39.5072840999992,0.053735499999675,39.52131709999958,39.52131709999958,41.02383179999924,[0.1938888888888889],[0.18722222222222223],[1.5152158999999301]
,,,,,,,,
