target_col,trial.started,mouse.started,square.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,26.537394200000563,0.1417731000001367,26.66346680000061,26.66346680000061,32.28142350000053,[-0.17944444444444443],[-0.04111111111111111],[5.650240599999961]
red,33.28883010000027,0.080711099999462,33.38985850000063,33.38985850000063,37.03587340000013,[0.1638888888888889],[-0.08388888888888889],[3.671442800001387]
white,38.03811570000107,0.0798892000002524,38.1461259000007,38.1461259000007,40.73087550000128,[0.1272222222222222],[-0.022222222222222223],[2.6135032000001956]
red,41.73735260000103,0.0846789999995962,41.84554399999979,41.84554399999979,44.06132010000147,[-0.06777777777777778],[-0.1322222222222222],[2.244134500000655]
white,45.070307500000126,0.0867132000003039,45.17995180000071,45.17995180000071,47.40499460000137,[-0.13055555555555556],[0.09555555555555556],[2.2551214000013715]
white,48.414461700000174,0.0881776999995054,48.52158710000003,48.52158710000003,50.79167969999981,[-0.155],[-0.235],[2.29657860000043]
white,51.80253830000038,0.0816348000007565,51.90195420000055,51.90195420000055,53.7774601000001,[0.15777777777777777],[0.06277777777777778],[1.9023849999994127]
red,54.785644100000354,0.0876391000001604,54.90183350000007,54.90183350000007,56.15922690000116,[0.06888888888888889],[-0.04611111111111111],[1.2924853000004077]
white,57.16271870000128,0.0819050000009156,57.26888830000098,57.26888830000098,58.87496060000012,[-0.115],[0.10388888888888889],[1.6319187000008242]
red,59.87894220000089,0.0793211000000155,59.99116660000072,59.99116660000072,61.39952030000131,[-0.24944444444444444],[0.10777777777777778],[1.443444599999566]
white,62.41194490000089,0.0895662999992055,62.52520080000068,62.52520080000068,64.58828730000096,[-0.1711111111111111],[0.06888888888888889],[2.097395900000265]
white,65.60025700000006,0.0837197000000742,65.70229450000079,65.70229450000079,68.36663970000154,[0.052222222222222225],[-0.22277777777777777],[2.6928232000009302]
white,69.37201210000057,0.0776037999985419,69.47340120000081,69.47340120000081,71.22783190000155,[-0.07],[-0.12055555555555555],[1.7816542999989906]
red,72.23821090000092,0.0878863999987515,72.34310730000107,72.34310730000107,73.53552820000004,[-0.1827777777777778],[-0.19111111111111112],[1.218052300000636]
white,74.53781270000036,0.077201199999763,74.64196179999999,74.64196179999999,76.79351690000112,[0.205],[-0.09833333333333333],[2.179066700000476]
,,,,,,,,
