target_col,trial.started,mouse.started,square.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,5.588191899994854,0.1458570999966468,5.720008099997358,5.720008099997358,7.543062699995062,[0.135],[-0.10222222222222223],[1.8612257999993744]
white,8.54677829999855,0.084513900001184,8.660960099994554,8.660960099994554,10.791677499997604,[-0.10888888888888888],[-0.11944444444444445],[2.161464899996645]
red,11.79623079999874,0.1246815000049537,11.960049000001163,11.960049000001163,13.847946499998216,[-0.0811111111111111],[-0.15444444444444444],[1.9300338000030024]
white,14.862524199998006,0.098237500002142,14.977484600000023,14.977484600000023,16.58774750000157,[-0.06222222222222222],[-0.011111111111111112],[1.6398207999955048]
white,17.595719500000996,0.0973012000031303,17.732256899995264,17.732256899995264,18.996430899998813,[-0.17777777777777778],[0.13666666666666666],[1.3097037999978056]
red,20.01144669999485,0.0968366000015521,20.13853620000009,20.13853620000009,21.27998849999858,[-0.0961111111111111],[-0.12833333333333333],[1.1849289999954635]
white,22.295298699995328,0.1172772999998414,22.438279299996797,22.438279299996797,23.891002199998184,[-0.15388888888888888],[0.15],[1.4920573000053992]
white,24.8937791999997,0.0935625999991316,25.032335700001568,25.032335700001568,26.438902699999744,[0.23722222222222222],[0.021666666666666667],[1.4526542000021436]
red,27.44400609999866,0.0926713000008021,27.56935939999676,27.56935939999676,29.041856499999994,[-0.051666666666666666],[0.13055555555555556],[1.5086387999981525]
white,30.06051949999528,0.1007768000054056,30.182766699996137,30.182766699996137,31.17876999999862,[-0.007222222222222222],[0.04722222222222222],[1.0346026999977767]
red,32.19324809999671,0.1049775999999838,32.32539269999688,32.32539269999688,33.93279089999851,[-0.2511111111111111],[-0.12],[1.6472219999996014]
white,34.942742799998086,0.0957339000015053,35.071995899998,35.071995899998,36.70382009999594,[-0.17666666666666667],[0.19111111111111112],[1.6737241000009817]
white,37.71031679999578,0.0873942999969585,37.84902739999961,37.84902739999961,39.41766819999612,[-0.23277777777777778],[0.18166666666666667],[1.6248838000028627]
red,40.42591579999862,0.0918650000021443,40.5504809999984,40.5504809999984,41.81123859999934,[-0.08],[0.18666666666666668],[1.300118899998779]
white,42.82494929999666,0.0953362000000197,42.94927209999878,42.94927209999878,44.19107029999577,[0.1338888888888889],[0.12277777777777778],[1.2827780000006896]
,,,,,,,,
