Group,n,Lab_logRT_M,Game_logRT_M,Diff_logRT_M,Diff_logRT_SD,CI_lo,CI_hi,t,df,p,sig,dz,Wilcoxon_W,p_wilcoxon,Raw_diff_M,t_raw,p_raw,dz_raw
Single,21,7.3124835059714375,7.816252637578454,0.5037691316070162,0.14171594378847563,0.4392608073990974,0.568277455814935,16.29005259857751,20,5.206922831422593e-13,***,3.55478090989493,0.0,9.5367431640625e-07,1392.144788620643,12.602684757349342,5.6918225119915364e-11,2.750131279058073
Multiple,16,7.320028712556459,7.400231251017596,0.08020253846113595,0.2380671539972407,-0.04665449333886906,0.20705957026114097,1.3475615953650713,15,0.19780231215446423,ns,0.3368903988412678,36.0,0.104583740234375,251.41621497128403,1.8234906385954828,0.08821697872363482,0.4558726596488707
