DV,n_Single,n_Multiple,Single_M,Single_SD,Multiple_M,Multiple_SD,t,p,sig,d,U_MW,p_MW,sig_MW,r_MW
Lab Log RT,21,16,7.3124835059714375,0.12611319985447517,7.320028712556459,0.13143789647627965,-0.17603712131595833,0.8613838995987553,ns,-0.05875311040644857,171.0,0.9389080139387341,ns,-0.017857142857142794
Lab Raw RT (ms),21,16,1565.4100876191012,236.53699981708743,1605.0394387499946,273.64926421393676,-0.46241858979791406,0.6471493032187392,ns,-0.15657001572167323,164.0,0.9145514728939473,ns,0.023809523809523836
Game Log RT (all levels),21,16,7.816252637578454,0.15010719817048063,7.400231251017596,0.20559792963488188,6.825649824827102,2.7986960196809536e-07,***,2.3631682834174663,317.0,5.299714116480134e-06,***,-0.8869047619047619
Game Raw RT ms (all levels),21,16,2957.5548762397448,520.819634668458,1856.4556537212788,507.2797110595147,6.465865234324783,2.5102366124254103e-07,***,2.137806032713463,314.0,8.173482299976611e-06,***,-0.8690476190476191
Game Raw RT ms (levels 1–10),21,16,2264.568625818626,427.94252404474656,1847.1489583333334,514.3507086788472,2.6266061667458453,0.013640752271485175,*,0.8939534370161439,258.0,0.00607327961229262,**,-0.5357142857142858
Game Success Rate (%),21,16,95.7873407637684,5.564896140977286,96.37202617174492,2.533978426706276,-0.42688169412793975,0.672569350928993,ns,-0.12929976115063313,198.0,0.3593062498027383,ns,-0.1785714285714286
Game Hit Rate (%),21,16,95.86104684788896,6.6283876360564875,98.01642223401598,2.7649129155816152,-1.3444955879203757,0.18949805042022005,ns,-0.40457485249064146,187.0,0.5500198682908048,ns,-0.11309523809523814
Game False Alarms,21,16,0.1667745753272069,0.285509948068432,0.5654782717282718,0.4589319575132116,-3.0538454043715886,0.005523119216752631,**,-1.0777916378421193,69.0,0.002206053576747807,**,0.5892857142857143
Game Max Level Reached,21,16,15.0,0.0,10.75,1.3416407864998738,12.671051872498808,2.0477295093447017e-09,***,4.838837861703143,336.0,7.776419806535557e-09,***,-1.0
