group,n_ptpt,n_obs,b0,b0_se,b0_p,b1,b1_se,b1_p,b1_ci_lo,b1_ci_hi,exp_b0,exp_b1,pct_change,rand_var,resid_var,icc,aic,bic,llf,is_singular
Single,21,537,5.0209909509285707e-17,1559851.8702463016,1.0,0.2915183305236954,0.03236794649758893,2.129519948856676e-19,0.22807832113490173,0.3549583399124891,1.0,1.3384581679047538,33.84581679047538,0.0,0.1350662835525843,0.0,510.34144656124835,527.4854389392838,-251.17072328062417,True
Multiple,16,417,2.7133123620301774e-17,1238139.52228903,1.0,0.07919936384978653,0.03503820448453892,0.023798194900698136,0.010525744977140442,0.1478729827224326,1.0,1.0824200959982642,8.242009599826417,0.0,0.12492387967015878,0.0,363.30903720609405,379.44138209328923,-177.65451860304702,True
