DV,F_A,p_A,eta_A,sig_A,F_B,p_B,eta_B,sig_B,F_AB,p_AB,eta_AB,sig_AB
Log RT (all levels),25.593995664410844,1.342076507637735e-05,0.42238501329667505,***,46.202211494522885,6.990547851692952e-08,0.5689772562122799,***,19.79250986832551,8.368968694594248e-05,0.36122656027055217,***
Raw RT (all levels),26.79035440294912,9.421636388506904e-06,0.43356855065505945,***,48.65496865307633,4.11134589706208e-08,0.5816148094544422,***,19.232984954128508,0.00010096742859400099,0.35463629690300474,***
Log RT (levels 1–10),5.742713287321972,0.022034485733963938,0.14095068354490148,*,31.211588980355838,2.707862274409223e-06,0.4713916319032297,***,9.096957902845155,0.004745310681351422,0.20629445511610256,**
