target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0032436000001325738,0.008726999999908003,0.002985199999784527,7.578823700000157,-0.057777777777777775,-0.050555555555555555,1,0,0,,,,,,,,,,,,,,,,,,,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
red,0,0,0,[-0.14777777777777779],[0.11555555555555555],[1],[0],[0],[1.0655574999996134],"['target', 'target']",0,0,0,2,7.641944800000147,,,,,,,,,,,7.628555100000085,7.641944800000147,0.04947300000003452,7.641944800000147,7.641944800000147,7.641944800000147,8.695082900000216,[-0.14777777777777779],[0.11555555555555555],[1],[0],[0],[1.0655574999996134],"['target', 'target']",8.71348530000023,8.719282600000042,8.719282600000042,9.706782100000055,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
white,1,1,0,[0.215],[0.12055555555555555],[1],[0],[0],[1.8496193000000858],"['target', 'target']",0,1,1,1,9.756517599999825,,,,,,,,,,,9.743770300000051,9.756517599999825,0.04832190000024639,9.756517599999825,9.756517599999825,9.756517599999825,11.5944942000001,[0.215],[0.12055555555555555],[1],[0],[0],[1.8496193000000858],"['target', 'target']",11.607702700000118,11.612263999999868,11.612263999999868,12.607757799999945,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
white,2,2,0,[0.08833333333333333],[0.014444444444444444],[1],[0],[0],[1.4014225000000806],"['target', 'target']",0,2,2,0,12.658814899999925,,,,,,,,,,,12.64638530000002,12.658814899999925,0.051443400000152906,12.658814899999925,12.658814899999925,12.658814899999925,14.049032700000225,[0.08833333333333333],[0.014444444444444444],[1],[0],[0],[1.4014225000000806],"['target', 'target']",14.058700699999918,14.06455619999997,14.06455619999997,15.058843499999966,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
white,3,0,1,[-0.13277777777777777],[-0.0016666666666666668],[1],[0],[0],[1.447645900000225],"['target', 'target']",1,0,3,1,15.109626200000093,,,,,,,,,,,15.098011099999894,15.109626200000093,0.04871290000028239,15.109626200000093,15.109626200000093,15.109626200000093,16.546905100000004,[-0.13277777777777777],[-0.0016666666666666668],[1],[0],[0],[1.447645900000225],"['target', 'target']",16.559145900000203,16.565032399999836,16.565032399999836,17.559787900000174,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
white,4,1,1,[-0.03388888888888889],[-0.07666666666666666],[1],[0],[0],[1.1159701999999925],"['target', 'target']",1,1,4,0,17.60892130000002,,,,,,,,,,,17.596769199999926,17.60892130000002,0.04953860000023269,17.60892130000002,17.60892130000002,17.60892130000002,18.713774100000137,[-0.03388888888888889],[-0.07666666666666666],[1],[0],[0],[1.1159701999999925],"['target', 'target']",18.723283100000117,18.729292299999997,18.729292299999997,19.726674699999876,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
red,5,2,1,[0.06055555555555556],[0.02],[1],[0],[0],[1.147490899999866],"['target', 'target']",1,2,5,2,19.780899599999884,,,,,,,,,,,19.76505330000009,19.780899599999884,0.0510111999997207,19.780899599999884,19.780899599999884,19.780899599999884,20.913847599999826,[0.06055555555555556],[0.02],[1],[0],[0],[1.147490899999866],"['target', 'target']",20.92187009999998,20.927689499999815,20.927689499999815,21.912417099999857,21.962395300000026,21.962395300000026,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
white,6,0,2,[-0.10055555555555555],[-0.0005555555555555556],[1],[0],[0],[1.0966820999997253],"['target', 'target']",2,0,6,0,21.962395300000026,,,,,,,,,,,21.949856600000203,21.962395300000026,0.035742000000027474,21.962395300000026,21.962395300000026,21.962395300000026,23.047439399999803,[-0.10055555555555555],[-0.0005555555555555556],[1],[0],[0],[1.0966820999997253],"['target', 'target']",23.05504289999999,23.06050920000007,23.06050920000007,24.04502599999978,24.09207319999996,24.09207319999996,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
red,7,1,2,[-0.16055555555555556],[-0.17777777777777778],[1],[0],[0],[1.4680155000000923],"['target', 'target']",2,1,7,2,24.09207319999996,,,,,,,,,,,24.0808391999999,24.09207319999996,0.033159100000375474,24.09207319999996,24.09207319999996,24.09207319999996,25.549988400000075,[-0.16055555555555556],[-0.17777777777777778],[1],[0],[0],[1.4680155000000923],"['target', 'target']",25.56051750000006,25.566170200000215,25.566170200000215,26.562820900000133,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
white,8,2,2,[-0.018333333333333333],[0.03944444444444444],[1],[0],[0],[1.8234791999998379],"['target', 'target']",2,2,8,1,26.62365499999987,,,,,,,,,,,26.608555700000124,26.62365499999987,0.05830400000013469,26.62365499999987,26.62365499999987,26.62365499999987,28.433025700000144,[-0.018333333333333333],[0.03944444444444444],[1],[0],[0],[1.8234791999998379],"['target', 'target']",28.443459399999938,28.448871699999927,28.448871699999927,29.446660000000065,,,,,9,001,2026-02-04_09h11.21.582,visual_search,,2025.2.4,60.140066214262774,2026-02-04 09h11.21.676968 +0530,
