target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.01842229999965639,0.02570489999925485,0.01777080000101705,8.836683199999243,-0.03888888888888889,-0.06722222222222222,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,0,0,0,1,8.93155939999997,,,,,,,,,,,8.853306699998939,8.93155939999997,0.07492170000114129,8.93155939999997,8.93155939999997,8.93155939999997,11.286544800001138,[0.04055555555555555],[0.06222222222222222],[1],[0],[0],[2.37344640000083],['target'],11.287515299998631,11.304971099998511,11.304971099998511,12.292644400000427,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,0,1,1,0,12.36353439999948,,,,,,,,,,,12.293539999998757,12.36353439999948,0.05806750000192551,12.36353439999948,12.36353439999948,12.36353439999948,14.080124299998715,[-0.08166666666666667],[-0.235],[1],[0],[0],[1.7341402000020025],['target'],14.080632400000468,14.094243600000482,14.094243600000482,15.091936400000122,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
red,0,2,2,2,15.162995200000296,,,,,,,,,,,15.092421500001365,15.162995200000296,0.06181120000110241,15.162995200000296,15.162995200000296,15.162995200000296,16.819012200001453,[0.16444444444444445],[0.1688888888888889],[1],[0],[0],[1.6761199000029592],['target'],16.819524499998806,16.836258300001646,16.836258300001646,17.825047499998618,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,1,0,3,0,17.89986080000017,,,,,,,,,,,17.82605390000026,17.89986080000017,0.05756519999704324,17.89986080000017,17.89986080000017,17.89986080000017,19.349130200000218,[0.09333333333333334],[-0.15666666666666668],[1],[0],[0],[1.4715800000012678],['target'],19.349639000000025,19.362501899999188,19.362501899999188,20.358269600001222,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,1,1,4,1,20.427590999999666,,,,,,,,,,,20.359045199998945,20.427590999999666,0.05987779999850318,20.427590999999666,20.427590999999666,20.427590999999666,21.93625880000036,[0.1527777777777778],[0.10833333333333334],[1],[0],[0],[1.5263615000003483],['target'],21.93693340000027,21.949230800000805,21.949230800000805,22.941197200001625,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
red,1,2,5,2,23.01030940000055,,,,,,,,,,,22.942350699999224,23.01030940000055,0.05495439999867813,23.01030940000055,23.01030940000055,23.01030940000055,24.131855200001155,[0.23833333333333334],[0.10111111111111111],[1],[0],[0],[1.13956060000055],['target'],24.132350299998507,24.14656620000096,24.14656620000096,25.1406261000011,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
red,2,0,6,2,25.216096899999684,,,,,,,,,,,25.141332300001523,25.216096899999684,0.05883729999914067,25.216096899999684,25.216096899999684,25.216096899999684,26.930034900000464,[-0.21444444444444444],[-0.13],[1],[0],[0],[1.7384023999984493],['target'],26.930541400000948,26.944407999999385,26.944407999999385,27.940440300000773,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,2,1,7,0,28.026387599998998,,,,,,,,,,,27.942653199999768,28.026387599998998,0.07042849999925238,28.026387599998998,28.026387599998998,28.026387599998998,29.95783830000073,[0.23222222222222222],[-0.05277777777777778],[1],[0],[0],[1.9564160000008997],['target'],29.958355999999185,29.971140900001046,29.971140900001046,30.957973600001424,31.027873800001544,31.027873800001544,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,2,2,8,1,31.027873800001544,,,,,,,,,,,30.958641900000657,31.027873800001544,0.05078420000063488,31.027873800001544,31.027873800001544,31.027873800001544,33.09317899999951,[-0.19611111111111112],[-0.13555555555555557],[1],[0],[0],[2.083622900001501],['target'],33.09373559999949,33.10590489999959,33.10590489999959,34.090251000001444,34.15788020000036,34.15788020000036,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,3,0,9,1,34.15788020000036,,,,,,,,,,,34.09085380000033,34.15788020000036,0.04573220000020228,34.15788020000036,34.15788020000036,34.15788020000036,35.749391900000774,[-0.16277777777777777],[-0.24388888888888888],[1],[0],[0],[1.609469299997727],['target'],35.74994919999881,35.7643977000007,35.7643977000007,36.75606759999937,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
white,3,1,10,0,36.82792189999964,,,,,,,,,,,36.75713860000178,36.82792189999964,0.059474699999555014,36.82792189999964,36.82792189999964,36.82792189999964,38.137858800000686,[0.12],[0.05277777777777778],[1],[0],[0],[1.3280405000004976],['target'],38.13836960000117,38.151458500000444,38.151458500000444,39.13896250000107,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
red,3,2,11,2,39.21158020000075,,,,,,,,,,,39.13981839999906,39.21158020000075,0.052305799999885494,39.21158020000075,39.21158020000075,39.21158020000075,40.55564249999952,[-0.23333333333333334],[0.14],[1],[0],[0],[1.3645163000001048],['target'],40.556179399998655,40.56843909999952,40.56843909999952,41.55666289999863,41.634435799998755,41.634435799998755,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
red,4,0,12,2,41.634435799998755,,,,,,,,,,,41.5575714000006,41.634435799998755,0.05674350000117556,41.634435799998755,41.634435799998755,41.634435799998755,43.00796470000205,[-0.23166666666666666],[0.23833333333333334],[1],[0],[0],[1.3946294000015769],['target'],43.00852160000068,43.02280090000204,43.02280090000204,44.02119920000041,,,,,,19,001,2026-02-05_14h39.09.206,visual_search,2024.1.5,None,2026-02-05 14h39.29.142381 +0530,
