target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.007475299998986884,0.013644299999214127,0.007247099998494377,12.366722399998253,0.0022222222222222222,-0.07666666666666666,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,0,0,0,1,12.478593699999692,,,,,,,,,,,12.407290099999955,12.478593699999692,0.09214930000052846,12.478593699999692,12.478593699999692,12.478593699999692,14.342087099999844,[-0.25055555555555553],[0.08666666666666667],[1],[0],[0],[1.8824207999987266],['target'],14.342954899999313,14.359909899998456,14.359909899998456,15.347799399998621,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,0,1,1,0,15.416459699999905,,,,,,,,,,,15.348287299999356,15.416459699999905,0.05503079999834881,15.416459699999905,15.416459699999905,15.416459699999905,16.74189539999861,[-0.07111111111111111],[0.024444444444444446],[1],[0],[0],[1.3435081999996328],['target'],16.74245239999982,16.75698029999876,16.75698029999876,17.747833399998854,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
red,0,2,2,2,17.817918599999757,,,,,,,,,,,17.748788499999137,17.817918599999757,0.05709319999914442,17.817918599999757,17.817918599999757,17.817918599999757,19.098159599998326,[-0.008888888888888889],[0.20055555555555554],[1],[0],[0],[1.2981970000000729],['target'],19.09874509999827,19.113271399999576,19.113271399999576,20.098428899998908,20.166795499999353,20.166795499999353,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,1,0,3,1,20.166795499999353,,,,,,,,,,,20.09914629999912,20.166795499999353,0.04936900000029709,20.166795499999353,20.166795499999353,20.166795499999353,21.573031899999478,[0.20944444444444443],[0.24055555555555555],[1],[0],[0],[1.4245460999991337],['target'],21.57368739999947,21.585676699998658,21.585676699998658,22.58025279999856,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,1,1,4,0,22.65329219999876,,,,,,,,,,,22.581133199999385,22.65329219999876,0.06043829999907757,22.65329219999876,22.65329219999876,22.65329219999876,24.69798399999854,[0.19],[-0.1738888888888889],[1],[0],[0],[2.063400200000615],['target'],24.69847909999953,24.712600299999394,24.712600299999394,25.697469499998988,25.7645150999997,25.7645150999997,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
red,1,2,5,2,25.7645150999997,,,,,,,,,,,25.698248099999546,25.7645150999997,0.04791029999978491,25.7645150999997,25.7645150999997,25.7645150999997,26.959369099999094,[0.19055555555555556],[0.06888888888888889],[1],[0],[0],[1.2124963999995089],['target'],26.959881799999494,26.971759899999597,26.971759899999597,27.962797999998656,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,2,0,6,0,28.033776299998863,,,,,,,,,,,27.963532399999167,28.033776299998863,0.05559559999892372,28.033776299998863,28.033776299998863,28.033776299998863,29.30197909999879,[0.14722222222222223],[0.09333333333333334],[1],[0],[0],[1.286051299999599],['target'],29.302852799999528,29.316333999999188,29.316333999999188,30.312209299998358,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
red,2,1,7,2,30.380698999999368,,,,,,,,,,,30.312592499998573,30.380698999999368,0.0581359000007069,30.380698999999368,30.380698999999368,30.380698999999368,31.90342259999852,[-0.2361111111111111],[-0.035555555555555556],[1],[0],[0],[1.5420520000006945],['target'],31.903952099999515,31.91745379999884,31.91745379999884,32.91239129999849,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,2,2,8,1,32.98513439999988,,,,,,,,,,,32.913204499998756,32.98513439999988,0.05968550000034156,32.98513439999988,32.98513439999988,32.98513439999988,35.59894219999842,[-0.013333333333333334],[-0.11944444444444445],[1],[0],[0],[2.6347759000000224],['target'],35.59973319999881,35.617973899999924,35.617973899999924,36.611740099999224,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
red,3,0,9,2,36.69745459999831,,,,,,,,,,,36.61254740000004,36.69745459999831,0.07625570000163862,36.69745459999831,36.69745459999831,36.69745459999831,38.121616799999174,[0.095],[0.12777777777777777],[1],[0],[0],[1.4452113999996072],['target'],38.122221999999965,38.13437929999964,38.13437929999964,39.128264499999204,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,3,1,10,1,39.20005979999951,,,,,,,,,,,39.12930719999895,39.20005979999951,0.05822230000012496,39.20005979999951,39.20005979999951,39.20005979999951,40.48279079999884,[0.1111111111111111],[-0.23166666666666666],[1],[0],[0],[1.301920699999755],['target'],40.48337559999891,40.495996799998466,40.495996799998466,41.49431539999932,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,3,2,11,0,41.566216399998666,,,,,,,,,,,41.49490679999872,41.566216399998666,0.06212650000088615,41.566216399998666,41.566216399998666,41.566216399998666,43.2291570999987,[-0.18555555555555556],[-0.19055555555555556],[1],[0],[0],[1.6831994999993185],['target'],43.22967499999868,43.24329309999848,43.24329309999848,44.227916099998765,44.29832699999861,44.29832699999861,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,4,0,12,0,44.29832699999861,,,,,,,,,,,44.22851989999981,44.29832699999861,0.04746720000002824,44.29832699999861,44.29832699999861,44.29832699999861,45.676711399999476,[0.14222222222222222],[-0.21555555555555556],[1],[0],[0],[1.3991819999992003],['target'],45.677269899999374,45.68986529999893,45.68986529999893,46.67791279999983,46.750330299999405,46.750330299999405,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
red,4,1,13,2,46.750330299999405,,,,,,,,,,,46.67872219999845,46.750330299999405,0.05269380000027013,46.750330299999405,46.750330299999405,46.750330299999405,48.06576979999954,[-0.06],[-0.2038888888888889],[1],[0],[0],[1.3353707999995095],['target'],48.066330699999526,48.07943239999986,48.07943239999986,49.07650779999858,,,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
white,4,2,14,1,49.147461399999884,,,,,,,,,,,49.07735069999944,49.147461399999884,0.06148320000102103,49.147461399999884,49.147461399999884,49.147461399999884,50.410422399998424,[-0.1272222222222222],[-0.21444444444444444],[1],[0],[0],[1.2821984000001976],['target'],50.410939499999586,50.42570549999982,50.42570549999982,51.41070330000002,51.425707699998384,51.425707699998384,,,,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.410851899998306,51.425707699998384,61.42519629999879,18,001,2026-02-05_13h30.57.127,visual_search,2024.1.5,None,2026-02-05 13h31.27.356875 +0530,
