target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008637200000521261,0.01742790000025707,0.007970799999384326,26.488324300000386,-0.19555555555555557,-0.2511111111111111,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
white,0,0,0,0,26.663466800000606,,,,,,,,,,,26.537394200000563,26.663466800000606,0.14177310000013676,26.663466800000606,26.663466800000606,26.663466800000606,32.28142350000053,[-0.17944444444444443],[-0.04111111111111111],[1],[0],[0],[5.650240599999961],['target'],32.2827711000009,32.307647100000395,32.307647100000395,33.288200800001505,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
red,0,1,1,2,33.38985850000063,,,,,,,,,,,33.28883010000027,33.38985850000063,0.08071109999946202,33.38985850000063,33.38985850000063,33.38985850000063,37.03587340000013,[0.1638888888888889],[-0.08388888888888889],[1],[0],[0],[3.671442800001387],['target'],37.03672499999993,37.0568217,37.0568217,38.03764730000148,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
white,0,2,2,1,38.1461259000007,,,,,,,,,,,38.03811570000107,38.1461259000007,0.07988920000025246,38.1461259000007,38.1461259000007,38.1461259000007,40.730875500001275,[0.1272222222222222],[-0.022222222222222223],[1],[0],[0],[2.6135032000001956],['target'],40.73170960000061,40.7497242999998,40.7497242999998,41.736837899999955,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
red,1,0,3,2,41.84554399999979,,,,,,,,,,,41.73735260000103,41.84554399999979,0.08467899999959627,41.84554399999979,41.84554399999979,41.84554399999979,44.06132010000147,[-0.06777777777777778],[-0.1322222222222222],[1],[0],[0],[2.244134500000655],['target'],44.06226220000099,44.08361810000133,44.08361810000133,45.06983300000138,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
white,1,1,4,0,45.17995180000071,,,,,,,,,,,45.070307500000126,45.17995180000071,0.08671320000030391,45.17995180000071,45.17995180000071,45.17995180000071,47.40499460000137,[-0.13055555555555556],[0.09555555555555556],[1],[0],[0],[2.2551214000013715],['target'],47.40597230000094,47.42423039999994,47.42423039999994,48.413965000001554,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
white,1,2,5,1,48.52158710000003,,,,,,,,,,,48.414461700000174,48.52158710000003,0.08817769999950542,48.52158710000003,48.52158710000003,48.52158710000003,50.791679699999804,[-0.155],[-0.235],[1],[0],[0],[2.29657860000043],['target'],50.792518900001596,50.811880300001576,50.811880300001576,51.80209819999982,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
white,2,0,6,1,51.901954200000546,,,,,,,,,,,51.80253830000038,51.901954200000546,0.08163480000075651,51.901954200000546,51.901954200000546,51.901954200000546,53.7774601000001,[0.15777777777777777],[0.06277777777777778],[1],[0],[0],[1.9023849999994127],['target'],53.7783169000013,53.79668070000116,53.79668070000116,54.78504460000113,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
red,2,1,7,2,54.901833500000066,,,,,,,,,,,54.785644100000354,54.901833500000066,0.0876391000001604,54.901833500000066,54.901833500000066,54.901833500000066,56.15922690000116,[0.06888888888888889],[-0.04611111111111111],[1],[0],[0],[1.2924853000004077],['target'],56.1602098000003,56.18313070000113,56.18313070000113,57.16225800000029,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
white,2,2,8,0,57.26888830000098,,,,,,,,,,,57.16271870000128,57.26888830000098,0.0819050000009156,57.26888830000098,57.26888830000098,57.26888830000098,58.87496060000012,[-0.115],[0.10388888888888889],[1],[0],[0],[1.6319187000008242],['target'],58.875795600000856,58.89655640000092,58.89655640000092,59.87849650000135,,,,1,002,2026-02-03_15h36.25.316,visual_search,2024.1.5,None,2026-02-03 15h36.44.053001 +0530,
