target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008307599999994864,0.016390300000011848,0.007897499999984348,19.84943609999999,-0.10888888888888888,0.27,1,0,0,,,,,,,,,,,,,,,,,,,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,0,0,0,0,20.04327599999999,,,,,,,,,,,19.910666400000025,20.04327599999999,0.16038620000000492,20.04327599999999,20.04327599999999,20.04327599999999,21.487853099999995,[0.11333333333333333],[0.22],[1],[0],[0],[1.4767247999999995],['target'],21.4897378,21.517876400000034,21.517876400000034,22.5019863,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,0,1,1,1,22.607940499999984,,,,,,,,,,,22.50272590000003,22.607940499999984,0.09016640000004372,22.607940499999984,22.607940499999984,22.607940499999984,23.96354550000001,[-0.014444444444444444],[-0.09055555555555556],[1],[0],[0],[1.3827446999999893],['target'],23.964748999999983,23.990133200000002,23.990133200000002,24.96830299999999,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
red,0,2,2,2,25.097554400000035,,,,,,,,,,,24.9690693,25.097554400000035,0.09068240000004835,25.097554400000035,25.097554400000035,25.097554400000035,26.326064700000018,[0.22555555555555556],[0.08333333333333333],[1],[0],[0],[1.269938800000034],['target'],26.326999100000023,26.351915200000008,26.351915200000008,27.33480270000001,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
red,1,0,3,2,27.438786300000004,,,,,,,,,,,27.33535760000001,27.438786300000004,0.08414779999998245,27.438786300000004,27.438786300000004,27.438786300000004,28.371905200000015,[-0.19111111111111112],[0.06333333333333334],[1],[0],[0],[0.959958400000005],['target'],28.3727614,28.391254500000002,28.391254500000002,29.384208900000033,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,1,1,4,0,29.495825200000013,,,,,,,,,,,29.384770500000002,29.495825200000013,0.09372309999997697,29.495825200000013,29.495825200000013,29.495825200000013,31.8961453,[0.19722222222222222],[0.12111111111111111],[1],[0],[0],[2.4287517999999864],['target'],31.89708619999999,31.914594599999987,31.914594599999987,32.90031959999999,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,1,2,5,1,33.03306600000002,,,,,,,,,,,32.90101490000001,33.03306600000002,0.10752690000003895,33.03306600000002,33.03306600000002,33.03306600000002,35.41440319999998,[0.18666666666666668],[-0.20277777777777778],[1],[0],[0],[2.4086312999999677],['target'],35.41528729999999,35.43465170000002,35.43465170000002,36.41679770000002,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,2,0,6,0,36.561329,,,,,,,,,,,36.4172643,36.561329,0.09942000000000917,36.561329,36.561329,36.561329,38.34720550000003,[-0.21388888888888888],[0.23277777777777778],[1],[0],[0],[1.8314157000000364],['target'],38.34806710000004,38.3666551,38.3666551,39.3497878,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
red,2,1,7,2,39.478779900000006,,,,,,,,,,,39.35063840000004,39.478779900000006,0.09060570000002599,39.478779900000006,39.478779900000006,39.478779900000006,40.82249300000001,[0.16833333333333333],[-0.16777777777777778],[1],[0],[0],[1.383039100000019],['target'],40.82341539999999,40.84407759999999,40.84407759999999,41.83332840000003,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,2,2,8,1,41.95790929999998,,,,,,,,,,,41.83386089999999,41.95790929999998,0.1046916999999894,41.95790929999998,41.95790929999998,41.95790929999998,44.10984890000003,[-0.10444444444444445],[-0.08333333333333333],[1],[0],[0],[2.1809734999999932],['target'],44.11112280000003,44.130945,44.130945,45.11618680000004,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
white,3,0,9,0,45.245395900000005,,,,,,,,,,,45.1170358,45.245395900000005,0.0976172999999676,45.245395900000005,45.245395900000005,45.245395900000005,46.44248900000002,[-0.026111111111111113],[0.05555555555555555],[1],[0],[0],[1.232958300000007],['target'],46.44336520000002,46.46248409999998,46.46248409999998,47.448945500000036,,,,14,001,2026-02-05_09h30.51.690,visual_search,2024.1.5,None,2026-02-05 09h31.27.553552 +0530,
