target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.013129499999195104,0.018629199999850243,0.01287390000288724,21.99741709999944,-0.11333333333333333,0.1438888888888889,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
white,0,0,0,0,22.066401799998857,,,,,,,,,,,22.00940730000002,22.066401799998857,0.053694400001404574,22.066401799998857,22.066401799998857,22.066401799998857,24.509568699999363,[0.22055555555555556],[0.008333333333333333],[1],[0],[0],[2.45739500000127],['target'],24.510190500001045,24.52169589999903,24.52169589999903,25.512659500000154,,,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
white,0,1,1,1,25.578375699999015,,,,,,,,,,,25.51313790000131,25.578375699999015,0.05292800000097486,25.578375699999015,25.578375699999015,25.578375699999015,27.753337199999805,[-0.16055555555555556],[-0.15333333333333332],[1],[0],[0],[2.1895696999999927],['target'],27.754284300001018,27.768818900000042,27.768818900000042,28.756867899999634,,,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
red,0,2,2,2,28.82173949999924,,,,,,,,,,,28.757321799999772,28.82173949999924,0.04961650000041118,28.82173949999924,28.82173949999924,28.82173949999924,30.30143229999885,[-0.21833333333333332],[0.08944444444444444],[1],[0],[0],[1.4969051999978547],['target'],30.30212290000054,30.31768590000138,30.31768590000138,31.301715000001423,31.371957100000145,31.371957100000145,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
white,1,0,3,0,31.371957100000145,,,,,,,,,,,31.30225910000081,31.371957100000145,0.05122230000051786,31.371957100000145,31.371957100000145,31.371957100000145,32.783145199999126,[0.1272222222222222],[0.04555555555555556],[1],[0],[0],[1.4293838000012329],['target'],32.783550600001035,32.793596600000456,32.793596600000456,33.77914420000161,33.83264119999876,33.83264119999876,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
red,1,1,4,2,33.83264119999876,,,,,,,,,,,33.77967920000083,33.83264119999876,0.035581899999669986,33.83264119999876,33.83264119999876,33.83264119999876,35.44468450000204,[-0.07111111111111111],[-0.008333333333333333],[1],[0],[0],[1.624982599998475],['target'],35.44539509999959,35.45865640000193,35.45865640000193,36.44535000000178,36.501011799999105,36.501011799999105,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
white,1,2,5,1,36.501011799999105,,,,,,,,,,,36.44597010000143,36.501011799999105,0.038853599999129074,36.501011799999105,36.501011799999105,36.501011799999105,37.634175200000755,[-0.07166666666666667],[0.058888888888888886],[1],[0],[0],[1.1493651999990107],['target'],37.63490180000008,37.64816599999904,37.64816599999904,38.63418459999957,38.69826269999976,38.69826269999976,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
white,2,0,6,1,38.69826269999976,,,,,,,,,,,38.63483410000117,38.69826269999976,0.04374929999903543,38.69826269999976,38.69826269999976,38.69826269999976,40.362894400001096,[0.205],[-0.11444444444444445],[1],[0],[0],[1.6839776000015263],['target'],40.363255899999785,40.37182060000123,40.37182060000123,41.3558832000017,41.41308140000183,41.41308140000183,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
red,2,1,7,2,41.41308140000183,,,,,,,,,,,41.35655780000161,41.41308140000183,0.036261799999920186,41.41308140000183,41.41308140000183,41.41308140000183,42.74115100000199,[-0.12555555555555556],[-0.10333333333333333],[1],[0],[0],[1.3410597999973106],['target'],42.74188240000149,42.755184000001464,42.755184000001464,43.74363259999882,,,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
white,2,2,8,0,43.801618000001326,,,,,,,,,,,43.74424699999872,43.801618000001326,0.04103699999905075,43.801618000001326,43.801618000001326,43.801618000001326,45.14096090000021,[-0.0016666666666666668],[-0.022222222222222223],[1],[0],[0],[1.3575387999990198],['target'],45.141616000000795,45.15334939999957,45.15334939999957,46.14330139999947,,,,,,21,001,2026-02-05_15h30.59.402,visual_search,2024.1.5,None,2026-02-05 15h32.46.264127 +0530,
