target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008671099996718112,0.016586699995968957,0.008275299995148089,5.534858799997892,0.021666666666666667,0.0038888888888888888,1,0,0,,,,,,,,,,,,,,,,,,,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,0,0,0,1,5.720008099997358,,,,,,,,,,,5.588191899994854,5.720008099997358,0.14585709999664687,5.720008099997358,5.720008099997358,5.720008099997358,7.543062699995062,[0.135],[-0.10222222222222223],[1],[0],[0],[1.8612257999993744],['target'],7.545030599998427,7.570035400000052,7.570035400000052,8.545937899994897,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,0,1,1,0,8.660960099994554,,,,,,,,,,,8.54677829999855,8.660960099994554,0.08451390000118408,8.660960099994554,8.660960099994554,8.660960099994554,10.791677499997604,[-0.10888888888888888],[-0.11944444444444445],[1],[0],[0],[2.161464899996645],['target'],10.79259369999636,10.813956999998481,10.813956999998481,11.795309000000998,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
red,0,2,2,2,11.960049000001163,,,,,,,,,,,11.796230799998739,11.960049000001163,0.1246815000049537,11.960049000001163,11.960049000001163,11.960049000001163,13.847946499998216,[-0.0811111111111111],[-0.15444444444444444],[1],[0],[0],[1.9300338000030024],['target'],13.848880300000019,13.871325599997363,13.871325599997363,14.861713699996471,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,1,0,3,0,14.977484600000025,,,,,,,,,,,14.862524199998006,14.977484600000025,0.09823750000214204,14.977484600000025,14.977484600000025,14.977484600000025,16.58774750000157,[-0.06222222222222222],[-0.011111111111111112],[1],[0],[0],[1.6398207999955048],['target'],16.588596499997948,16.606002499996976,16.606002499996976,17.594684299998335,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,1,1,4,1,17.732256899995264,,,,,,,,,,,17.595719500000996,17.732256899995264,0.09730120000313036,17.732256899995264,17.732256899995264,17.732256899995264,18.996430899998813,[-0.17777777777777778],[0.13666666666666666],[1],[0],[0],[1.3097037999978056],['target'],18.997510000001057,19.018277499999385,19.018277499999385,20.010747399996035,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
red,1,2,5,2,20.13853620000009,,,,,,,,,,,20.01144669999485,20.13853620000009,0.09683660000155214,20.13853620000009,20.13853620000009,20.13853620000009,21.27998849999858,[-0.0961111111111111],[-0.12833333333333333],[1],[0],[0],[1.1849289999954635],['target'],21.28083979999792,21.300606699995114,21.300606699995114,22.294342499997583,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,2,0,6,1,22.438279299996793,,,,,,,,,,,22.295298699995328,22.438279299996793,0.11727729999984149,22.438279299996793,22.438279299996793,22.438279299996793,23.891002199998184,[-0.15388888888888888],[0.15],[1],[0],[0],[1.4920573000053992],['target'],23.891957699997874,23.913921799998207,23.913921799998207,24.893115200000466,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,2,1,7,0,25.032335700001568,,,,,,,,,,,24.8937791999997,25.032335700001568,0.09356259999913163,25.032335700001568,25.032335700001568,25.032335700001568,26.438902699999744,[0.23722222222222222],[0.021666666666666667],[1],[0],[0],[1.4526542000021436],['target'],26.439765700000862,26.46042060000036,26.46042060000036,27.44316009999602,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
red,2,2,8,2,27.569359399996756,,,,,,,,,,,27.44400609999866,27.569359399996756,0.09267130000080215,27.569359399996756,27.569359399996756,27.569359399996756,29.041856499999994,[-0.051666666666666666],[0.13055555555555556],[1],[0],[0],[1.5086387999981525],['target'],29.042740699995193,29.063993999996455,29.063993999996455,30.059745799997472,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,3,0,9,0,30.182766699996137,,,,,,,,,,,30.06051949999528,30.182766699996137,0.10077680000540568,30.182766699996137,30.182766699996137,30.182766699996137,31.17876999999862,[-0.007222222222222222],[0.04722222222222222],[1],[0],[0],[1.0346026999977767],['target'],31.17968370000017,31.20999849999498,31.20999849999498,32.19228730000032,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
red,3,1,10,2,32.32539269999688,,,,,,,,,,,32.19324809999671,32.32539269999688,0.1049775999999838,32.32539269999688,32.32539269999688,32.32539269999688,33.93279089999851,[-0.2511111111111111],[-0.12],[1],[0],[0],[1.6472219999996014],['target'],33.93368969999574,33.95376559999568,33.95376559999568,34.94193349999841,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
white,3,2,11,1,35.071995899998,,,,,,,,,,,34.942742799998086,35.071995899998,0.09573390000150539,35.071995899998,35.071995899998,35.071995899998,36.70382009999594,[-0.17666666666666667],[0.19111111111111112],[1],[0],[0],[1.6737241000009817],['target'],36.70469569999841,36.72449469999992,36.72449469999992,37.709454600000754,,,,5,001,2026-02-04_11h27.03.306,visual_search,2024.1.5,None,2026-02-04 11h27.34.948864 +0530,
