Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-05T20:06:07.475060,singleTarget,1,10,True,100.0,100.0,0,2082,0,"(91.00,186.88)"
2026-02-05T20:06:17.898079,singleTarget,2,20,True,100.0,100.0,0,1096,0,"(169.93,464.99)"
2026-02-05T20:06:27.403203,singleTarget,3,30,True,100.0,100.0,0,1530,0,"(67.60,142.32)"
2026-02-05T20:06:44.405138,singleTarget,4,40,True,100.0,100.0,0,7664,0,"(216.80,591.66)"
2026-02-05T20:06:56.232222,singleTarget,5,50,True,100.0,100.0,0,1559,0,"(263.06,178.60)"
2026-02-05T20:07:06.008664,singleTarget,6,60,True,100.0,100.0,0,2397,0,"(241.13,510.75)"
2026-02-05T20:07:13.476865,singleTarget,7,70,True,100.0,100.0,0,1330,0,"(159.33,129.18)"
2026-02-05T20:07:22.471324,singleTarget,8,80,True,100.0,100.0,0,2120,0,"(195.25,124.42)"
2026-02-05T20:07:30.445816,singleTarget,9,90,True,100.0,100.0,0,2310,0,"(220.99,578.20)"
2026-02-05T20:07:37.613379,singleTarget,10,100,True,100.0,100.0,0,2179,0,"(32.01,483.23)"
2026-02-05T20:07:48.261534,singleTarget,11,110,True,100.0,100.0,0,4726,0,"(92.80,31.48)"
2026-02-05T20:07:54.093381,singleTarget,12,120,True,100.0,100.0,0,1758,0,"(116.38,104.49)"
2026-02-05T20:07:59.577110,singleTarget,13,130,True,100.0,100.0,0,2851,0,"(69.74,523.17)"
2026-02-05T20:08:06.997446,singleTarget,14,140,True,100.0,100.0,0,3437,0,"(227.14,455.92)"
2026-02-05T20:08:19.298025,singleTarget,15,145,True,50.0,100.0,1,6273,0,"(273.74,561.76)"
