Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-05T20:58:30.945547,singleTarget,1,10,True,100.0,100.0,0,1700,0,"(244.93,570.91)"
2026-02-05T20:58:41.212908,singleTarget,2,20,True,100.0,100.0,0,1142,0,"(96.96,260.57)"
2026-02-05T20:58:52.726721,singleTarget,3,30,True,100.0,100.0,0,1386,0,"(165.35,177.93)"
2026-02-05T20:59:07.852057,singleTarget,4,40,True,100.0,100.0,0,3218,0,"(59.92,220.63)"
2026-02-05T20:59:30.207302,singleTarget,5,50,True,100.0,100.0,0,1676,0,"(39.40,253.74)"
2026-02-05T20:59:45.870762,singleTarget,6,60,True,100.0,100.0,0,1922,0,"(222.00,258.46)"
2026-02-05T21:00:00.365828,singleTarget,7,70,True,100.0,100.0,0,3228,0,"(95.03,338.20)"
2026-02-05T21:00:20.406884,singleTarget,8,80,True,100.0,100.0,0,2578,0,"(146.85,108.55)"
2026-02-05T21:00:30.627714,singleTarget,9,90,True,100.0,100.0,0,1820,0,"(62.27,95.07)"
2026-02-05T21:00:53.719834,singleTarget,10,100,True,100.0,100.0,0,10896,0,"(244.89,311.84)"
2026-02-05T21:01:22.247238,singleTarget,11,110,True,100.0,100.0,0,14711,0,"(259.38,102.27)"
2026-02-05T21:01:38.232030,singleTarget,12,120,True,100.0,100.0,0,3875,0,"(265.73,505.54)"
2026-02-05T21:01:53.882818,singleTarget,13,130,True,100.0,100.0,0,1731,0,"(207.40,210.33)"
2026-02-05T21:02:10.404423,singleTarget,14,140,True,100.0,100.0,0,4309,0,"(177.96,531.78)"
2026-02-05T21:02:25.008166,singleTarget,15,150,True,100.0,100.0,0,5331,0,"(119.45,517.59)"
