Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-04T14:37:45.234159,singleTarget,1,10,True,100.0,100.0,0,1076,0,"(82.61,299.73)"
2026-02-04T14:37:59.415520,singleTarget,2,20,True,100.0,100.0,0,1101,0,"(93.59,534.53)"
2026-02-04T14:38:09.652622,singleTarget,3,30,True,100.0,100.0,0,1110,0,"(185.82,479.46)"
2026-02-04T14:38:23.093988,singleTarget,4,40,True,100.0,100.0,0,3221,0,"(268.94,547.90)"
2026-02-04T14:38:37.827525,singleTarget,5,50,True,100.0,100.0,0,1919,0,"(242.78,494.45)"
2026-02-04T14:38:54.854313,singleTarget,6,60,True,100.0,100.0,0,2451,0,"(147.13,213.87)"
2026-02-04T14:39:06.511200,singleTarget,7,70,True,100.0,100.0,0,3404,0,"(133.73,365.52)"
2026-02-04T14:39:21.227776,singleTarget,8,80,True,100.0,100.0,0,1509,0,"(266.44,380.74)"
2026-02-04T14:39:31.198442,singleTarget,9,90,True,100.0,100.0,0,1769,0,"(281.09,134.08)"
2026-02-04T14:39:43.329056,singleTarget,10,100,True,100.0,100.0,0,2861,0,"(213.17,511.64)"
2026-02-04T14:39:52.890253,singleTarget,11,110,True,100.0,100.0,0,1318,0,"(275.77,96.81)"
2026-02-04T14:40:04.279443,singleTarget,12,120,True,100.0,100.0,0,3045,0,"(199.53,253.23)"
2026-02-04T14:40:18.195289,singleTarget,13,130,True,100.0,100.0,0,5973,0,"(55.51,91.71)"
2026-02-04T14:40:32.454572,singleTarget,14,140,True,100.0,100.0,0,5606,0,"(207.94,429.65)"
2026-02-04T14:40:45.837616,singleTarget,15,150,True,100.0,100.0,0,3930,0,"(125.22,68.10)"
